bank_transaction_id,bank_account_id,settlement_id,description,type,amount,currency,posted_at,value_date,status
BANK_000084,ACC_BARC_GBP_01,SETTLE_000084,SETTLEMENT PAYOUT REF SETTLE_000084,CREDIT,452.91,GBP,2026-02-18 23:29:02,2026-02-18,POSTED
BANK_000086,ACC_BARC_GBP_01,SETTLE_000086,SETTLEMENT PAYOUT REF SETTLE_000086,CREDIT,2220.88,GBP,2026-02-05 08:13:45,2026-02-05,POSTED
BANK_000087,ACC_DB_EUR_01,SETTLE_000087,SETTLEMENT PAYOUT REF SETTLE_000087,CREDIT,20.84,EUR,2026-02-10 17:33:42,2026-02-10,POSTED
BANK_000088,ACC_DB_EUR_01,SETTLE_000088,SETTLEMENT PAYOUT REF SETTLE_000088,CREDIT,40.35,EUR,2026-01-31 17:16:18,2026-01-31,POSTED
BANK_000089,ACC_HSBC_GBP_02,SETTLE_000089,SETTLEMENT PAYOUT REF SETTLE_000089,CREDIT,73.38,GBP,2026-03-10 14:13:34,2026-03-10,POSTED
BANK_000090,ACC_WF_USD_03,SETTLE_000090,SETTLEMENT PAYOUT REF SETTLE_000090,CREDIT,76.08,USD,2026-01-27 10:54:02,2026-01-27,POSTED
BANK_000091,ACC_JPM_USD_01,SETTLE_000091,SETTLEMENT PAYOUT REF SETTLE_000091,CREDIT,69.41,USD,2026-03-19 23:14:46,2026-03-19,POSTED
BANK_000092,ACC_WF_USD_03,SETTLE_000092,SETTLEMENT PAYOUT REF SETTLE_000092,CREDIT,26.69,USD,2026-01-25 13:08:26,2026-01-25,POSTED
BANK_000093,ACC_BOA_USD_02,SETTLE_000093,SETTLEMENT PAYOUT REF SETTLE_000093,CREDIT,22.19,USD,2026-02-01 11:14:50,2026-02-01,POSTED
BANK_000094,ACC_BARC_GBP_01,SETTLE_000094,SETTLEMENT PAYOUT REF SETTLE_000094,CREDIT,30.10,GBP,2026-02-10 17:36:55,2026-02-10,POSTED
BANK_000095,ACC_WF_USD_03,SETTLE_000095,SETTLEMENT PAYOUT REF SETTLE_000095,CREDIT,40.89,USD,2026-02-16 00:07:55,2026-02-16,POSTED
BANK_000096,ACC_HSBC_GBP_02,SETTLE_000096,SETTLEMENT PAYOUT REF SETTLE_000096,CREDIT,3282.47,GBP,2026-02-25 14:36:38,2026-02-25,POSTED
BANK_000097,ACC_JPM_USD_01,SETTLE_000097,SETTLEMENT PAYOUT REF SETTLE_000097,CREDIT,596.64,USD,2026-02-20 03:48:59,2026-02-20,POSTED
BANK_000098,ACC_RBC_CAD_01,SETTLE_000098,SETTLEMENT PAYOUT REF SETTLE_000098,CREDIT,293.43,CAD,2026-02-01 18:22:37,2026-02-01,POSTED
BANK_000099,ACC_DB_EUR_01,SETTLE_000099,SETTLEMENT PAYOUT REF SETTLE_000099,CREDIT,165.77,EUR,2026-01-29 01:25:14,2026-01-29,POSTED
BANK_000100,ACC_HSBC_GBP_02,SETTLE_000100,SETTLEMENT PAYOUT REF SETTLE_000100,CREDIT,586.91,GBP,2026-03-06 02:16:53,2026-03-06,POSTED
BANK_000102,ACC_JPM_USD_01,SETTLE_000102,SETTLEMENT PAYOUT REF SETTLE_000102,CREDIT,1756.57,USD,2026-03-06 17:43:50,2026-03-06,POSTED
BANK_000103,ACC_DB_EUR_01,SETTLE_000103,SETTLEMENT PAYOUT REF SETTLE_000103,CREDIT,206.61,EUR,2026-01-25 06:49:54,2026-01-25,POSTED
BANK_000104,ACC_BOA_USD_02,SETTLE_000104,SETTLEMENT PAYOUT REF SETTLE_000104,CREDIT,176.08,USD,2026-03-12 12:11:06,2026-03-12,POSTED
BANK_000105,ACC_DB_EUR_01,SETTLE_000105,SETTLEMENT PAYOUT REF SETTLE_000105,CREDIT,204.10,EUR,2026-02-26 01:29:50,2026-02-26,POSTED
BANK_000106,ACC_ICICI_INR_02,SETTLE_000106,SETTLEMENT PAYOUT REF SETTLE_000106,CREDIT,15000.00,INR,2026-02-27 18:31:15,2026-02-27,POSTED
BANK_000107,ACC_WF_USD_03,SETTLE_000107,SETTLEMENT PAYOUT REF SETTLE_000107,CREDIT,68.14,USD,2026-02-06 22:53:32,2026-02-06,POSTED
BANK_000108,ACC_WF_USD_03,SETTLE_000108,SETTLEMENT PAYOUT REF SETTLE_000108,CREDIT,172.30,USD,2026-02-11 21:15:01,2026-02-11,POSTED
BANK_000109,ACC_BOA_USD_02,SETTLE_000109,SETTLEMENT PAYOUT REF SETTLE_000109,CREDIT,213.56,USD,2026-02-20 07:25:57,2026-02-20,POSTED
BANK_000110,ACC_WF_USD_03,SETTLE_000110,SETTLEMENT PAYOUT REF SETTLE_000110,CREDIT,421.36,USD,2026-04-01 20:31:41,2026-04-01,POSTED
BANK_000111,ACC_TD_CAD_02,SETTLE_000111,SETTLEMENT PAYOUT REF SETTLE_000111,CREDIT,60.05,CAD,2026-03-09 21:45:27,2026-03-09,POSTED
BANK_000112,ACC_BNP_EUR_02,SETTLE_000112,SETTLEMENT PAYOUT REF SETTLE_000112,CREDIT,45.73,EUR,2026-01-20 03:15:55,2026-01-20,POSTED
BANK_000113_DUP,ACC_TD_CAD_02,SETTLE_000113,SETTLEMENT PAYOUT DUP REF SETTLE_000113,CREDIT,469.66,CAD,2026-01-29 03:05:22,2026-01-29,POSTED
BANK_000113,ACC_TD_CAD_02,SETTLE_000113,SETTLEMENT PAYOUT REF SETTLE_000113,CREDIT,469.66,CAD,2026-01-29 02:55:22,2026-01-29,POSTED
BANK_000114,ACC_BNP_EUR_02,SETTLE_000114,SETTLEMENT PAYOUT REF SETTLE_000114,CREDIT,58.46,EUR,2026-01-04 05:43:55,2026-01-04,POSTED
BANK_000115,ACC_DB_EUR_01,SETTLE_000115,SETTLEMENT PAYOUT REF SETTLE_000115,CREDIT,79.20,EUR,2026-02-14 05:50:58,2026-02-14,POSTED
BANK_000116,ACC_BNP_EUR_02,SETTLE_000116,SETTLEMENT PAYOUT REF SETTLE_000116,CREDIT,60.03,EUR,2026-01-25 09:50:49,2026-01-25,POSTED
BANK_000117,ACC_DB_EUR_01,SETTLE_000117,SETTLEMENT PAYOUT REF SETTLE_000117,CREDIT,86.36,EUR,2026-01-19 04:06:33,2026-01-19,POSTED
BANK_000118,ACC_DB_EUR_01,SETTLE_000118,SETTLEMENT PAYOUT REF SETTLE_000118,CREDIT,112.70,EUR,2026-01-16 13:30:08,2026-01-16,POSTED
BANK_000119,ACC_DB_EUR_01,SETTLE_000119,SETTLEMENT PAYOUT REF SETTLE_000119,CREDIT,65.19,EUR,2026-02-25 21:53:24,2026-02-25,POSTED
BANK_000120,ACC_DB_EUR_01,SETTLE_000120,SETTLEMENT PAYOUT REF SETTLE_000120,CREDIT,322.17,EUR,2026-01-15 21:53:56,2026-01-15,POSTED
BANK_000121,ACC_JPM_USD_01,SETTLE_000121,SETTLEMENT PAYOUT REF SETTLE_000121,CREDIT,68.21,USD,2026-01-31 14:30:38,2026-01-31,POSTED
BANK_000122,ACC_HDFC_INR_01,SETTLE_000122,SETTLEMENT PAYOUT REF SETTLE_000122,CREDIT,15000.00,INR,2026-03-28 08:39:33,2026-03-28,POSTED
BANK_000123,ACC_HSBC_GBP_02,SETTLE_000123,SETTLEMENT PAYOUT REF SETTLE_000123,CREDIT,30.29,GBP,2026-03-05 13:27:56,2026-03-05,POSTED
BANK_000124,ACC_ICICI_INR_02,SETTLE_000124,SETTLEMENT PAYOUT REF SETTLE_000124,CREDIT,388.09,INR,2026-01-12 10:53:55,2026-01-12,POSTED
BANK_000125,ACC_HSBC_GBP_02,SETTLE_000125,SETTLEMENT PAYOUT REF SETTLE_000125,CREDIT,47.28,GBP,2026-02-14 00:09:27,2026-02-14,POSTED
BANK_000126,ACC_JPM_USD_01,SETTLE_000126,SETTLEMENT PAYOUT REF SETTLE_000126,CREDIT,397.81,USD,2026-01-07 10:17:05,2026-01-07,POSTED
BANK_000127,ACC_BOA_USD_02,SETTLE_000127,SETTLEMENT PAYOUT REF SETTLE_000127,CREDIT,16.65,USD,2026-02-07 22:12:50,2026-02-07,POSTED
BANK_000128,ACC_JPM_USD_01,SETTLE_000128,SETTLEMENT PAYOUT REF SETTLE_000128,CREDIT,48.72,USD,2026-03-16 14:09:42,2026-03-16,POSTED
BANK_000129,ACC_BOA_USD_02,SETTLE_000129,SETTLEMENT PAYOUT REF SETTLE_000129,CREDIT,71.41,USD,2026-01-15 07:27:15,2026-01-15,POSTED
BANK_000130,ACC_TD_CAD_02,SETTLE_000130,SETTLEMENT PAYOUT REF SETTLE_000130,CREDIT,38.05,CAD,2026-03-18 15:14:20,2026-03-18,POSTED
BANK_000131,ACC_BNP_EUR_02,SETTLE_000131,SETTLEMENT PAYOUT REF SETTLE_000131,CREDIT,66.70,EUR,2026-03-05 15:41:56,2026-03-05,POSTED
BANK_000132,ACC_TD_CAD_02,SETTLE_000132,SETTLEMENT PAYOUT REF SETTLE_000132,CREDIT,607.79,CAD,2026-01-09 15:39:47,2026-01-09,POSTED
BANK_000133,ACC_BNP_EUR_02,SETTLE_000133,SETTLEMENT PAYOUT REF SETTLE_000133,CREDIT,15.05,EUR,2026-02-11 08:03:03,2026-02-11,POSTED
BANK_000134,ACC_WF_USD_03,SETTLE_000134,SETTLEMENT PAYOUT REF SETTLE_000134,CREDIT,48.59,USD,2026-01-28 13:07:54,2026-01-28,POSTED
BANK_000135,ACC_BARC_GBP_01,SETTLE_000135,SETTLEMENT PAYOUT REF SETTLE_000135,CREDIT,1736.33,GBP,2026-01-07 08:05:47,2026-01-07,POSTED
BANK_000136,ACC_BARC_GBP_01,SETTLE_000136,SETTLEMENT PAYOUT REF SETTLE_000136,CREDIT,445.38,GBP,2026-01-03 17:16:17,2026-01-03,POSTED
BANK_000137,ACC_WF_USD_03,SETTLE_000137,SETTLEMENT PAYOUT REF SETTLE_000137,CREDIT,300.17,USD,2026-02-03 22:27:29,2026-02-03,POSTED
BANK_000138,ACC_BNP_EUR_02,SETTLE_000138,SETTLEMENT PAYOUT REF SETTLE_000138,CREDIT,3234.43,EUR,2026-01-13 21:02:03,2026-01-13,POSTED
BANK_000139,ACC_DB_EUR_01,SETTLE_000139,SETTLEMENT PAYOUT REF SETTLE_000139,CREDIT,523.51,EUR,2026-03-05 20:32:50,2026-03-05,POSTED
BANK_000140,ACC_HSBC_GBP_02,SETTLE_000140,SETTLEMENT PAYOUT REF SETTLE_000140,CREDIT,289.93,GBP,2026-03-23 16:28:59,2026-03-23,POSTED
BANK_000141,ACC_JPM_USD_01,SETTLE_000141,SETTLEMENT PAYOUT REF SETTLE_000141,CREDIT,45.88,USD,2026-01-21 23:43:20,2026-01-21,POSTED
BANK_000142,ACC_DB_EUR_01,SETTLE_000142,SETTLEMENT PAYOUT REF SETTLE_000142,CREDIT,28.44,EUR,2026-03-03 01:47:00,2026-03-03,POSTED
BANK_000143,ACC_DB_EUR_01,SETTLE_000143,SETTLEMENT PAYOUT REF SETTLE_000143,CREDIT,89.35,EUR,2026-01-29 10:41:31,2026-01-29,POSTED
BANK_000144,ACC_WF_USD_03,SETTLE_000144,SETTLEMENT PAYOUT REF SETTLE_000144,CREDIT,381.50,USD,2026-03-18 04:09:59,2026-03-18,POSTED
BANK_000145,ACC_BARC_GBP_01,SETTLE_000145,SETTLEMENT PAYOUT REF SETTLE_000145,CREDIT,14.97,GBP,2026-03-05 16:09:06,2026-03-05,POSTED
BANK_000146,ACC_ICICI_INR_02,SETTLE_000146,SETTLEMENT PAYOUT REF SETTLE_000146,CREDIT,2446.02,INR,2026-01-05 20:56:01,2026-01-05,POSTED
BANK_000147,ACC_HSBC_GBP_02,SETTLE_000147,SETTLEMENT PAYOUT REF SETTLE_000147,CREDIT,50.31,GBP,2026-02-20 05:01:58,2026-02-20,POSTED
BANK_000148,ACC_BNP_EUR_02,SETTLE_000148,SETTLEMENT PAYOUT REF SETTLE_000148,CREDIT,421.18,EUR,2026-03-03 04:36:38,2026-03-03,POSTED
BANK_000149,ACC_DB_EUR_01,SETTLE_000149,SETTLEMENT PAYOUT REF SETTLE_000149,CREDIT,3268.39,EUR,2026-02-06 05:48:20,2026-02-06,POSTED
BANK_000150,ACC_BNP_EUR_02,SETTLE_000150,SETTLEMENT PAYOUT REF SETTLE_000150,CREDIT,567.20,EUR,2026-02-03 18:15:18,2026-02-03,POSTED
BANK_000151,ACC_BNP_EUR_02,SETTLE_000151,SETTLEMENT PAYOUT REF SETTLE_000151,CREDIT,440.09,EUR,2026-02-04 00:46:32,2026-02-04,POSTED
BANK_000152,ACC_BARC_GBP_01,SETTLE_000152,SETTLEMENT PAYOUT REF SETTLE_000152,CREDIT,576.91,GBP,2026-02-09 20:53:43,2026-02-09,POSTED
BANK_000153,ACC_WF_USD_03,SETTLE_000153,SETTLEMENT PAYOUT REF SETTLE_000153,CREDIT,310.03,USD,2026-02-23 18:52:32,2026-02-23,POSTED
