settlement_id,processor_id,merchant_id,currency,gross_amount,fee_amount,net_amount,transaction_count,settlement_date,status
SETTLE_000071,STRIPE,MERCH_0086,USD,15.49,0.48,15.01,1,2026-03-19,SETTLED
SETTLE_000072,ADYEN,MERCH_0044,USD,450.99,5.51,445.48,1,2026-03-09,SETTLED
SETTLE_000073,CHECKOUT_COM,MERCH_0043,USD,223.25,7.83,215.42,1,2026-01-02,SETTLED
SETTLE_000074,ADYEN,MERCH_0058,GBP,56.75,0.95,55.80,1,2026-02-21,SETTLED
SETTLE_000075,ADYEN,MERCH_0030,EUR,75.49,0.41,75.08,1,2026-02-18,SETTLED
SETTLE_000076,STRIPE,MERCH_0078,EUR,26.00,0.33,25.67,1,2026-03-12,SETTLED
SETTLE_000077,PAYPAL,MERCH_0058,INR,999.00,13.99,985.01,1,2026-02-18,SETTLED
SETTLE_000078,STRIPE,MERCH_0042,INR,1599.00,0.00,1599.00,1,2026-03-17,SETTLED
SETTLE_000079,STRIPE,MERCH_0012,INR,14970.00,302.40,14667.60,1,2026-03-27,SETTLED
SETTLE_000080,STRIPE,MERCH_0030,EUR,26.95,0.76,26.19,1,2026-01-27,SETTLED
SETTLE_000082,PAYPAL,MERCH_0087,INR,499.00,7.99,491.01,1,2026-02-21,SETTLED
SETTLE_000083,PAYPAL,MERCH_0064,EUR,19.95,1.03,18.92,1,2026-01-16,SETTLED
SETTLE_000084,PAYPAL,MERCH_0091,GBP,466.75,13.84,452.91,1,2026-02-17,SETTLED
SETTLE_000086,ADYEN,MERCH_0071,GBP,2254.80,33.92,2220.88,1,2026-02-04,SETTLED
SETTLE_000087,STRIPE,MERCH_0090,EUR,21.50,0.66,20.84,1,2026-02-09,SETTLED
SETTLE_000088,STRIPE,MERCH_0057,EUR,40.75,0.40,40.35,1,2026-01-30,SETTLED
SETTLE_000089,STRIPE,MERCH_0049,GBP,75.00,1.62,73.38,1,2026-03-09,SETTLED
SETTLE_000090,STRIPE,MERCH_0020,USD,77.49,1.41,76.08,1,2026-01-26,SETTLED
SETTLE_000091,CHECKOUT_COM,MERCH_0086,USD,71.25,1.84,69.41,1,2026-03-18,SETTLED
SETTLE_000092,STRIPE,MERCH_0063,USD,27.80,1.11,26.69,1,2026-01-24,SETTLED
SETTLE_000093,PAYPAL,MERCH_0090,USD,23.50,1.31,22.19,1,2026-01-31,SETTLED
SETTLE_000094,CHECKOUT_COM,MERCH_0090,GBP,30.80,0.70,30.10,1,2026-02-09,SETTLED
SETTLE_000095,ADYEN,MERCH_0001,USD,41.49,0.60,40.89,1,2026-02-14,SETTLED
SETTLE_000096,STRIPE,MERCH_0039,GBP,3346.25,63.78,3282.47,1,2026-02-24,SETTLED
SETTLE_000097,ADYEN,MERCH_0018,USD,603.99,7.35,596.64,1,2026-02-18,SETTLED
SETTLE_000098,STRIPE,MERCH_0025,CAD,302.50,9.07,293.43,1,2026-01-31,SETTLED
SETTLE_000099,ADYEN,MERCH_0071,EUR,166.50,0.73,165.77,1,2026-01-27,SETTLED
SETTLE_000100,PAYPAL,MERCH_0010,GBP,604.75,17.84,586.91,1,2026-03-04,SETTLED
SETTLE_000102,STRIPE,MERCH_0009,USD,1770.99,14.42,1756.57,1,2026-03-05,SETTLED
SETTLE_000103,ADYEN,MERCH_0013,EUR,207.49,0.88,206.61,1,2026-01-23,SETTLED
SETTLE_000104,PAYPAL,MERCH_0068,USD,182.95,6.87,176.08,1,2026-03-11,SETTLED
SETTLE_000105,PAYPAL,MERCH_0095,EUR,211.25,7.15,204.10,1,2026-02-24,SETTLED
SETTLE_000106,STRIPE,MERCH_0019,INR,15000.00,0.00,15000.00,1,2026-02-26,SETTLED
SETTLE_000107,CHECKOUT_COM,MERCH_0024,USD,69.95,1.81,68.14,1,2026-02-05,SETTLED
SETTLE_000108,ADYEN,MERCH_0012,USD,174.49,2.19,172.30,1,2026-02-10,SETTLED
SETTLE_000109,STRIPE,MERCH_0037,USD,220.25,6.69,213.56,1,2026-02-19,SETTLED
SETTLE_000110,STRIPE,MERCH_0002,USD,434.25,12.89,421.36,1,2026-03-31,SETTLED
SETTLE_000111,CHECKOUT_COM,MERCH_0058,CAD,61.75,1.70,60.05,1,2026-03-08,SETTLED
SETTLE_000112,ADYEN,MERCH_0064,EUR,46.49,0.76,45.73,1,2026-01-18,SETTLED
SETTLE_000113,STRIPE,MERCH_0062,CAD,484.00,14.34,469.66,1,2026-01-28,SETTLED
SETTLE_000114,PAYPAL,MERCH_0008,EUR,60.80,2.34,58.46,1,2026-01-02,SETTLED
SETTLE_000115,CHECKOUT_COM,MERCH_0002,EUR,80.75,1.55,79.20,1,2026-02-13,SETTLED
SETTLE_000116,CHECKOUT_COM,MERCH_0099,EUR,61.25,1.22,60.03,1,2026-01-24,SETTLED
SETTLE_000117,STRIPE,MERCH_0085,EUR,86.99,0.63,86.36,1,2026-01-18,SETTLED
SETTLE_000118,ADYEN,MERCH_0037,EUR,113.25,0.55,112.70,1,2026-01-15,SETTLED
SETTLE_000119,CHECKOUT_COM,MERCH_0054,EUR,66.50,1.31,65.19,1,2026-02-24,SETTLED
SETTLE_000120,STRIPE,MERCH_0014,EUR,323.99,1.82,322.17,1,2026-01-14,SETTLED
SETTLE_000121,ADYEN,MERCH_0056,USD,69.80,1.59,68.21,1,2026-01-30,SETTLED
SETTLE_000122,STRIPE,MERCH_0036,INR,15000.00,0.00,15000.00,1,2026-03-27,SETTLED
SETTLE_000123,PAYPAL,MERCH_0025,GBP,31.50,1.21,30.29,1,2026-03-04,SETTLED
SETTLE_000124,STRIPE,MERCH_0003,INR,394.25,6.16,388.09,1,2026-01-11,SETTLED
SETTLE_000125,PAYPAL,MERCH_0008,GBP,49.00,1.72,47.28,1,2026-02-12,SETTLED
SETTLE_000126,STRIPE,MERCH_0007,USD,410.00,12.19,397.81,2,2026-01-06,SETTLED
SETTLE_000127,ADYEN,MERCH_0033,USD,16.95,0.30,16.65,1,2026-02-06,SETTLED
SETTLE_000128,PAYPAL,MERCH_0095,USD,50.99,2.27,48.72,1,2026-03-15,SETTLED
SETTLE_000129,STRIPE,MERCH_0081,USD,72.75,1.34,71.41,1,2026-01-14,SETTLED
SETTLE_000130,STRIPE,MERCH_0093,CAD,39.50,1.45,38.05,1,2026-03-17,SETTLED
SETTLE_000131,STRIPE,MERCH_0047,EUR,68.25,1.55,66.70,1,2026-03-04,SETTLED
SETTLE_000132,STRIPE,MERCH_0006,CAD,626.25,18.46,607.79,1,2026-01-08,SETTLED
SETTLE_000133,PAYPAL,MERCH_0072,EUR,15.95,0.90,15.05,1,2026-02-10,SETTLED
SETTLE_000134,ADYEN,MERCH_0065,USD,49.75,1.16,48.59,1,2026-01-27,SETTLED
SETTLE_000135,PAYPAL,MERCH_0031,GBP,1788.50,52.17,1736.33,1,2026-01-06,SETTLED
SETTLE_000136,PAYPAL,MERCH_0069,GBP,458.99,13.61,445.38,1,2026-01-02,SETTLED
SETTLE_000137,STRIPE,MERCH_0053,USD,305.00,4.83,300.17,2,2026-02-02,SETTLED
SETTLE_000138,ADYEN,MERCH_0100,EUR,3249.95,15.52,3234.43,1,2026-01-12,SETTLED
SETTLE_000139,ADYEN,MERCH_0027,EUR,525.50,1.99,523.51,1,2026-03-04,SETTLED
SETTLE_000140,STRIPE,MERCH_0059,GBP,295.75,5.82,289.93,1,2026-03-22,SETTLED
SETTLE_000141,STRIPE,MERCH_0088,USD,46.50,0.62,45.88,1,2026-01-20,SETTLED
SETTLE_000142,STRIPE,MERCH_0094,EUR,29.25,0.81,28.44,1,2026-03-01,SETTLED
SETTLE_000143,STRIPE,MERCH_0099,EUR,90.00,0.65,89.35,1,2026-01-28,SETTLED
SETTLE_000144,PAYPAL,MERCH_0018,USD,395.80,14.30,381.50,1,2026-03-17,SETTLED
SETTLE_000145,CHECKOUT_COM,MERCH_0089,GBP,20.49,5.52,14.97,1,2026-03-04,SETTLED
SETTLE_000146,STRIPE,MERCH_0001,INR,2499.00,52.98,2446.02,1,2026-01-04,SETTLED
SETTLE_000147,STRIPE,MERCH_0088,GBP,51.49,1.18,50.31,1,2026-02-19,SETTLED
SETTLE_000148,STRIPE,MERCH_0011,EUR,423.50,2.32,421.18,1,2026-03-02,SETTLED
SETTLE_000149,STRIPE,MERCH_0080,EUR,3331.95,63.56,3268.39,1,2026-02-05,SETTLED
SETTLE_000150,STRIPE,MERCH_0100,EUR,570.25,3.05,567.20,1,2026-02-02,SETTLED
SETTLE_000151,STRIPE,MERCH_0019,EUR,442.50,2.41,440.09,1,2026-02-02,SETTLED
SETTLE_000152,ADYEN,MERCH_0018,GBP,585.80,8.89,576.91,1,2026-02-08,SETTLED
SETTLE_000153,PAYPAL,MERCH_0075,USD,321.75,11.72,310.03,1,2026-02-22,SETTLED
SETTLE_000154,STRIPE,MERCH_0061,EUR,2129.00,40.70,2088.30,1,2026-04-01,SETTLED
SETTLE_000155,ADYEN,MERCH_0019,GBP,43.75,0.76,42.99,1,2026-03-31,SETTLED
SETTLE_000156,ADYEN,MERCH_0094,GBP,28.99,0.53,28.46,1,2026-03-10,SETTLED
SETTLE_000157,STRIPE,MERCH_0004,EUR,36.49,0.38,36.11,1,2026-02-06,SETTLED
SETTLE_000159,PAYPAL,MERCH_0015,GBP,258.00,7.78,250.22,1,2026-01-08,SETTLED
SETTLE_000161,PAYPAL,MERCH_0017,EUR,38.00,1.61,36.39,1,2026-02-10,SETTLED
SETTLE_000162,ADYEN,MERCH_0041,EUR,62.50,0.37,62.13,1,2026-03-23,SETTLED
SETTLE_000163,ADYEN,MERCH_0010,USD,35.00,0.52,34.48,1,2026-03-01,SETTLED
SETTLE_000164,PAYPAL,MERCH_0025,GBP,25.00,1.02,23.98,1,2026-01-21,SETTLED
SETTLE_000165,ADYEN,MERCH_0007,USD,1807.00,38.07,1768.93,1,2026-01-11,SETTLED
SETTLE_000166,PAYPAL,MERCH_0093,INR,1999.00,25.99,1973.01,1,2026-01-14,SETTLED
SETTLE_000167,ADYEN,MERCH_0004,EUR,119.80,0.57,119.23,1,2026-03-20,SETTLED
SETTLE_000168,STRIPE,MERCH_0092,CAD,245.50,7.42,238.08,1,2026-03-29,SETTLED
SETTLE_000169,ADYEN,MERCH_0058,USD,522.99,11.10,511.89,1,2026-02-04,SETTLED
SETTLE_000171,CHECKOUT_COM,MERCH_0012,USD,102.99,2.57,100.42,1,2026-01-11,SETTLED
SETTLE_000172,CHECKOUT_COM,MERCH_0010,USD,1949.95,45.05,1904.90,1,2026-03-12,SETTLED
SETTLE_000173,ADYEN,MERCH_0006,USD,213.25,4.60,208.65,1,2026-03-26,SETTLED
SETTLE_000174,CHECKOUT_COM,MERCH_0088,USD,3446.95,79.48,3367.47,1,2026-02-20,SETTLED
SETTLE_000175,ADYEN,MERCH_0020,EUR,155.50,0.69,154.81,1,2026-01-30,SETTLED
SETTLE_000176,CHECKOUT_COM,MERCH_0060,GBP,38.80,0.85,37.95,1,2026-03-05,SETTLED
SETTLE_000177,ADYEN,MERCH_0043,USD,75.80,1.01,74.79,1,2026-02-02,SETTLED
SETTLE_000178,STRIPE,MERCH_0061,CAD,470.99,13.96,457.03,1,2026-03-05,SETTLED
SETTLE_000179,STRIPE,MERCH_0007,EUR,37.25,1.38,35.87,1,2026-03-27,SETTLED
SETTLE_000180,ADYEN,MERCH_0092,GBP,396.75,6.05,390.70,1,2026-03-27,SETTLED
SETTLE_000181,ADYEN,MERCH_0022,GBP,245.80,3.79,242.01,1,2026-02-05,SETTLED
SETTLE_000182,STRIPE,MERCH_0072,USD,55.50,0.69,54.81,1,2026-01-21,SETTLED
SETTLE_000183,CHECKOUT_COM,MERCH_0015,CAD,1165.00,28.18,1136.82,1,2026-01-27,SETTLED
SETTLE_000184,CHECKOUT_COM,MERCH_0028,GBP,302.50,5.60,296.90,1,2026-02-12,SETTLED
SETTLE_000185,ADYEN,MERCH_0047,USD,547.49,11.62,535.87,1,2026-01-31,SETTLED
SETTLE_000186,STRIPE,MERCH_0067,GBP,262.80,5.19,257.61,1,2026-01-13,SETTLED
SETTLE_000187,ADYEN,MERCH_0037,USD,1076.49,22.73,1053.76,1,2026-03-04,SETTLED
SETTLE_000189,ADYEN,MERCH_0029,EUR,75.49,0.41,75.08,1,2026-02-24,SETTLED
SETTLE_000190,STRIPE,MERCH_0001,INR,1499.00,32.98,1466.02,1,2026-03-19,SETTLED
SETTLE_000191,STRIPE,MERCH_0054,USD,612.50,18.06,594.44,1,2026-01-03,SETTLED
SETTLE_000192,CHECKOUT_COM,MERCH_0074,GBP,95.25,1.86,93.39,1,2026-01-25,SETTLED
SETTLE_000193,ADYEN,MERCH_0094,USD,182.50,2.29,180.21,1,2026-02-10,SETTLED
SETTLE_000194,PAYPAL,MERCH_0074,GBP,243.95,7.37,236.58,1,2026-03-25,SETTLED
SETTLE_000195,STRIPE,MERCH_0002,USD,106.49,3.39,103.10,1,2026-01-17,SETTLED
SETTLE_000196,STRIPE,MERCH_0031,CAD,468.75,13.89,454.86,1,2026-01-31,SETTLED
SETTLE_000197,STRIPE,MERCH_0082,EUR,206.49,4.17,202.32,1,2026-03-27,SETTLED
SETTLE_000198,ADYEN,MERCH_0010,EUR,77.75,1.20,76.55,1,2026-03-25,SETTLED
SETTLE_000199,ADYEN,MERCH_0027,USD,280.80,3.47,277.33,1,2026-02-07,SETTLED
SETTLE_000200,PAYPAL,MERCH_0045,EUR,47.00,1.89,45.11,1,2026-03-02,SETTLED
SETTLE_000201,STRIPE,MERCH_0028,CAD,43.00,1.55,41.45,1,2026-01-13,SETTLED
SETTLE_000202,ADYEN,MERCH_0062,EUR,588.95,8.36,580.59,1,2026-01-11,SETTLED
SETTLE_000203,STRIPE,MERCH_0026,EUR,41.95,1.05,40.90,1,2026-02-09,SETTLED
SETTLE_000204,ADYEN,MERCH_0041,EUR,60.25,0.36,59.89,1,2026-03-02,SETTLED
SETTLE_000205,PAYPAL,MERCH_0005,USD,60.25,2.59,57.66,1,2026-01-26,SETTLED
SETTLE_000206,STRIPE,MERCH_0024,USD,461.75,3.94,457.81,1,2026-01-26,SETTLED
SETTLE_000207,ADYEN,MERCH_0089,USD,410.75,5.03,405.72,1,2026-03-12,SETTLED
SETTLE_000208,STRIPE,MERCH_0028,EUR,157.95,3.25,154.70,1,2026-01-23,SETTLED
SETTLE_000209,STRIPE,MERCH_0007,USD,208.95,3.38,205.57,1,2026-02-19,SETTLED
SETTLE_000210,STRIPE,MERCH_0074,USD,1815.00,52.93,1762.07,1,2026-01-30,SETTLED
SETTLE_000211,STRIPE,MERCH_0006,USD,506.49,14.99,491.50,1,2026-03-05,SETTLED
SETTLE_000212,ADYEN,MERCH_0011,USD,453.80,5.55,448.25,1,2026-03-18,SETTLED
SETTLE_000213,STRIPE,MERCH_0080,INR,299.00,8.98,290.02,1,2026-01-05,SETTLED
SETTLE_000214,ADYEN,MERCH_0012,EUR,866.00,12.23,853.77,1,2026-03-13,SETTLED
SETTLE_000215,PAYPAL,MERCH_0034,EUR,36.25,1.55,34.70,1,2026-03-10,SETTLED
SETTLE_000216,ADYEN,MERCH_0019,GBP,615.80,9.34,606.46,1,2026-03-29,SETTLED
SETTLE_000217,STRIPE,MERCH_0042,USD,150.95,1.46,149.49,1,2026-01-24,SETTLED
SETTLE_000218,STRIPE,MERCH_0010,CAD,560.00,16.54,543.46,1,2026-01-08,SETTLED
SETTLE_000220,ADYEN,MERCH_0014,EUR,3192.25,44.80,3147.45,1,2026-01-23,SETTLED
SETTLE_000221,PAYPAL,MERCH_0036,INR,9999.00,121.99,9877.01,1,2026-01-18,SETTLED
SETTLE_000224,STRIPE,MERCH_0057,EUR,763.00,14.75,748.25,1,2026-02-07,SETTLED
SETTLE_000225,CHECKOUT_COM,MERCH_0068,CAD,21.25,0.73,20.52,1,2026-02-19,SETTLED
SETTLE_000226,STRIPE,MERCH_0005,INR,4999.00,102.98,4896.02,1,2026-01-28,SETTLED
SETTLE_000227,STRIPE,MERCH_0094,CAD,436.50,12.96,423.54,1,2026-02-19,SETTLED
SETTLE_000228,PAYPAL,MERCH_0013,EUR,325.80,10.82,314.98,1,2026-02-20,SETTLED
SETTLE_000230,PAYPAL,MERCH_0077,USD,334.00,12.15,321.85,1,2026-02-17,SETTLED
SETTLE_000231,STRIPE,MERCH_0097,EUR,57.49,1.34,56.15,1,2026-03-18,SETTLED
SETTLE_000232,ADYEN,MERCH_0085,EUR,60.80,0.96,59.84,1,2026-01-26,SETTLED
SETTLE_000233,PAYPAL,MERCH_0035,GBP,67.00,2.24,64.76,1,2026-03-14,SETTLED
SETTLE_000234,ADYEN,MERCH_0004,GBP,26.99,0.50,26.49,2,2026-02-27,SETTLED
SETTLE_000235,PAYPAL,MERCH_0068,INR,1999.00,25.99,1973.01,1,2026-01-28,SETTLED
SETTLE_000236,ADYEN,MERCH_0006,USD,546.49,6.66,539.83,1,2026-02-21,SETTLED
SETTLE_000237,STRIPE,MERCH_0002,EUR,616.80,3.28,613.52,1,2026-03-09,SETTLED
SETTLE_000238,ADYEN,MERCH_0037,USD,303.00,6.48,296.52,1,2026-03-20,SETTLED
SETTLE_000239,ADYEN,MERCH_0040,EUR,32.00,0.56,31.44,1,2026-02-13,SETTLED
SETTLE_000240,STRIPE,MERCH_0012,CAD,163.25,5.03,158.22,1,2026-01-16,SETTLED
SETTLE_000241,ADYEN,MERCH_0087,EUR,1888.49,6.76,1881.73,1,2026-02-12,SETTLED
SETTLE_000242,STRIPE,MERCH_0075,CAD,40.95,1.49,39.46,1,2026-03-09,SETTLED
SETTLE_000243,STRIPE,MERCH_0049,EUR,596.80,3.18,593.62,1,2026-01-11,SETTLED
SETTLE_000244,CHECKOUT_COM,MERCH_0060,USD,759.00,17.66,741.34,1,2026-02-11,SETTLED
SETTLE_000245,STRIPE,MERCH_0075,EUR,65.95,0.53,65.42,1,2026-02-07,SETTLED
SETTLE_000247,STRIPE,MERCH_0089,USD,604.49,9.32,595.17,1,2026-03-27,SETTLED
SETTLE_000248,STRIPE,MERCH_0072,EUR,1499.00,32.98,1466.02,1,2026-01-15,SETTLED
SETTLE_000249,PAYPAL,MERCH_0009,EUR,409.49,13.49,396.00,1,2026-01-17,SETTLED
SETTLE_000250,ADYEN,MERCH_0008,EUR,1613.80,5.80,1608.00,1,2026-01-31,SETTLED
SETTLE_000251,STRIPE,MERCH_0056,USD,120.50,3.79,116.71,1,2026-03-05,SETTLED
SETTLE_000252,STRIPE,MERCH_0038,EUR,50.80,6.22,44.58,1,2026-03-08,SETTLED
SETTLE_000253,CHECKOUT_COM,MERCH_0019,USD,92.49,2.33,90.16,1,2026-01-29,SETTLED
SETTLE_000254,CHECKOUT_COM,MERCH_0046,USD,35.95,1.03,34.92,1,2026-02-16,SETTLED
SETTLE_000255,CHECKOUT_COM,MERCH_0091,CAD,34.49,1.05,33.44,1,2026-02-09,SETTLED
SETTLE_000256,PAYPAL,MERCH_0092,INR,2499.00,39.49,2459.51,1,2026-01-29,SETTLED
SETTLE_000257,PAYPAL,MERCH_0074,INR,799.00,11.59,787.41,1,2026-03-18,SETTLED
SETTLE_000258,STRIPE,MERCH_0009,GBP,28.75,0.75,28.00,1,2026-01-05,SETTLED
SETTLE_000259,ADYEN,MERCH_0014,EUR,904.25,8.31,895.94,1,2026-03-14,SETTLED
SETTLE_000260,STRIPE,MERCH_0078,GBP,72.99,1.59,71.40,1,2026-04-02,SETTLED
SETTLE_000261,PAYPAL,MERCH_0033,INR,1029.00,14.35,1014.65,1,2026-02-13,SETTLED
SETTLE_000262,PAYPAL,MERCH_0075,INR,999.00,13.99,985.01,1,2026-03-04,SETTLED
SETTLE_000263,STRIPE,MERCH_0073,USD,78.99,8.88,70.11,1,2026-03-27,SETTLED
SETTLE_000264,STRIPE,MERCH_0046,EUR,466.49,2.53,463.96,1,2026-03-26,SETTLED
SETTLE_000265,STRIPE,MERCH_0013,INR,9999.00,202.98,9796.02,1,2026-02-19,SETTLED
SETTLE_000266,STRIPE,MERCH_0050,GBP,45.95,1.07,44.88,1,2026-01-08,SETTLED
SETTLE_000267,STRIPE,MERCH_0080,EUR,1728.80,33.10,1695.70,1,2026-02-24,SETTLED
SETTLE_000268,STRIPE,MERCH_0026,USD,57.50,1.11,56.39,1,2026-03-29,SETTLED
