payment_id,order_id,invoice_id,customer_id,merchant_id,payment_method,amount,currency,status,initiated_at,completed_at
PAY_000036,ORD_000036,INV_000036,CUST_001435,MERCH_0079,CREDIT_CARD,9999.00,INR,COMPLETED,2026-02-10 15:08:34,2026-02-10 15:08:51
PAY_000037,ORD_000037,INV_000037,CUST_000358,MERCH_0051,CREDIT_CARD,2853.95,GBP,COMPLETED,2026-01-24 14:31:49,2026-01-24 14:31:54
PAY_000038,ORD_000038,INV_000038,CUST_000862,MERCH_0010,DEBIT_CARD,339.25,USD,COMPLETED,2026-02-19 07:19:30,2026-02-19 07:19:34
PAY_000039,ORD_000039,INV_000039,CUST_003784,MERCH_0082,DEBIT_CARD,2275.25,USD,COMPLETED,2026-02-07 08:09:24,2026-02-07 08:09:35
PAY_000040,ORD_000040,INV_000040,CUST_003804,MERCH_0086,CREDIT_CARD,46.49,USD,COMPLETED,2026-02-17 09:34:15,2026-02-17 09:34:22
PAY_000041,ORD_000041,INV_000041,CUST_000148,MERCH_0022,CREDIT_CARD,65.50,EUR,COMPLETED,2026-03-01 06:23:09,2026-03-01 06:23:33
PAY_000042,ORD_000042,INV_000042,CUST_002934,MERCH_0057,CREDIT_CARD,2831.00,CAD,COMPLETED,2026-01-18 14:37:50,2026-01-18 14:38:15
PAY_000043,ORD_000043,INV_000043,CUST_002526,MERCH_0050,DEBIT_CARD,63.00,USD,COMPLETED,2026-02-13 10:33:50,2026-02-13 10:34:00
PAY_000044,ORD_000044,INV_000044,CUST_000132,MERCH_0012,CREDIT_CARD,39.00,USD,COMPLETED,2026-02-11 06:35:31,2026-02-11 06:35:36
PAY_000045,ORD_000045,INV_000045,CUST_001369,MERCH_0022,CREDIT_CARD,411.49,GBP,COMPLETED,2026-01-05 14:33:23,2026-01-05 14:33:32
PAY_000046,ORD_000046,INV_000046,CUST_000990,MERCH_0055,CREDIT_CARD,37.49,CAD,COMPLETED,2026-01-23 21:33:00,2026-01-23 21:33:23
PAY_000047,ORD_000047,INV_000047,CUST_003759,MERCH_0028,ACH,458.95,USD,COMPLETED,2026-01-22 16:51:40,2026-01-22 16:51:49
PAY_000048,ORD_000048,INV_000048,CUST_000835,MERCH_0064,CREDIT_CARD,27.50,GBP,COMPLETED,2026-03-11 12:19:04,2026-03-11 12:19:27
PAY_000049,ORD_000049,INV_000049,CUST_002605,MERCH_0023,UPI,499.00,INR,COMPLETED,2026-03-25 00:15:54,2026-03-25 00:16:16
PAY_000050,ORD_000050,INV_000050,CUST_001905,MERCH_0066,CREDIT_CARD,30.00,USD,COMPLETED,2026-02-19 05:03:13,2026-02-19 05:03:39
PAY_000051,ORD_000051,INV_000051,CUST_000491,MERCH_0011,CREDIT_CARD,34.80,EUR,COMPLETED,2026-01-14 16:31:39,2026-01-14 16:32:02
PAY_000052,ORD_000052,INV_000052,CUST_002693,MERCH_0095,UPI,15000.00,INR,COMPLETED,2026-01-14 08:51:53,2026-01-14 08:51:57
PAY_000053,ORD_000053,INV_000053,CUST_000195,MERCH_0097,DEBIT_CARD,21.99,USD,COMPLETED,2026-01-23 13:37:55,2026-01-23 13:38:23
PAY_000054,ORD_000054,INV_000054,CUST_001504,MERCH_0042,CREDIT_CARD,77.00,GBP,COMPLETED,2026-02-13 06:46:32,2026-02-13 06:46:36
PAY_000055,ORD_000055,INV_000055,CUST_004855,MERCH_0023,CREDIT_CARD,517.75,CAD,COMPLETED,2026-02-23 14:54:23,2026-02-23 14:54:35
PAY_000056_DUP,ORD_000056,INV_000056,CUST_001446,MERCH_0055,CREDIT_CARD,1499.00,INR,COMPLETED,2026-03-01 03:44:23,2026-03-01 03:44:51
PAY_000056,ORD_000056,INV_000056,CUST_001446,MERCH_0055,CREDIT_CARD,1499.00,INR,COMPLETED,2026-03-01 03:44:08,2026-03-01 03:44:31
PAY_000057,ORD_000057,INV_000057,CUST_002946,MERCH_0011,SEPA,513.50,EUR,COMPLETED,2026-02-08 23:58:36,2026-02-08 23:59:02
PAY_000058,ORD_000058,INV_000058,CUST_003125,MERCH_0003,ACH,237.95,USD,COMPLETED,2026-02-11 19:54:28,2026-02-11 19:54:36
PAY_000059,ORD_000059,INV_000059,CUST_002321,MERCH_0059,CREDIT_CARD,32.80,GBP,COMPLETED,2026-02-06 18:09:20,2026-02-06 18:09:29
PAY_000060,ORD_000060,INV_000060,CUST_004102,MERCH_0002,CREDIT_CARD,506.80,EUR,COMPLETED,2026-03-13 05:52:56,2026-03-13 05:53:10
PAY_000061,ORD_000061,INV_000061,CUST_004820,MERCH_0083,CREDIT_CARD,1160.00,GBP,COMPLETED,2026-01-08 05:59:17,2026-01-08 05:59:25
PAY_000062,ORD_000062,INV_000062,CUST_002856,MERCH_0099,CREDIT_CARD,475.99,EUR,COMPLETED,2026-02-19 19:28:24,2026-02-19 19:28:34
PAY_000063,ORD_000063,INV_000063,CUST_000232,MERCH_0047,UPI,1499.00,INR,COMPLETED,2026-03-10 01:13:34,2026-03-10 01:13:58
PAY_000064,ORD_000064,INV_000064,CUST_004738,MERCH_0078,CREDIT_CARD,26.00,GBP,COMPLETED,2026-03-06 15:58:50,2026-03-06 15:59:05
PAY_000065,ORD_000065,INV_000065,CUST_001359,MERCH_0055,CREDIT_CARD,593.95,GBP,COMPLETED,2026-03-22 21:27:23,2026-03-22 21:27:38
PAY_000066,ORD_000066,INV_000066,CUST_000729,MERCH_0097,CREDIT_CARD,356.99,GBP,COMPLETED,2026-01-11 22:37:37,2026-01-11 22:38:03
PAY_000067,ORD_000067,INV_000067,CUST_004029,MERCH_0022,CREDIT_CARD,508.49,EUR,COMPLETED,2026-01-01 11:40:42,2026-01-01 11:41:05
PAY_000068,ORD_000068,INV_000068,CUST_003070,MERCH_0023,SEPA,595.75,EUR,COMPLETED,2026-01-19 10:20:36,2026-01-19 10:20:57
PAY_000069,ORD_000069,INV_000069,CUST_001497,MERCH_0008,CREDIT_CARD,2325.95,CAD,COMPLETED,2026-03-20 21:31:22,2026-03-20 21:31:44
PAY_000070,ORD_000070,INV_000070,CUST_000703,MERCH_0038,CREDIT_CARD,18.95,EUR,COMPLETED,2026-02-07 00:10:16,2026-02-07 00:10:34
PAY_000071,ORD_000071,INV_000071,CUST_004772,MERCH_0086,DEBIT_CARD,15.49,USD,COMPLETED,2026-03-18 22:59:09,2026-03-18 22:59:28
PAY_000072,ORD_000072,INV_000072,CUST_003038,MERCH_0044,DEBIT_CARD,450.99,USD,COMPLETED,2026-03-08 12:50:56,2026-03-08 12:51:11
PAY_000073,ORD_000073,INV_000073,CUST_000821,MERCH_0043,CREDIT_CARD,223.25,USD,COMPLETED,2026-01-01 15:11:16,2026-01-01 15:11:22
PAY_000074,ORD_000074,INV_000074,CUST_003893,MERCH_0058,CREDIT_CARD,56.75,GBP,COMPLETED,2026-02-20 07:50:11,2026-02-20 07:50:25
PAY_000075,ORD_000075,INV_000075,CUST_004971,MERCH_0030,SEPA,75.49,EUR,COMPLETED,2026-02-17 09:03:03,2026-02-17 09:03:28
PAY_000076,ORD_000076,INV_000076,CUST_001599,MERCH_0078,SEPA,26.00,EUR,COMPLETED,2026-03-11 10:56:42,2026-03-11 10:57:06
PAY_000077,ORD_000077,INV_000077,CUST_000948,MERCH_0058,UPI,999.00,INR,COMPLETED,2026-02-17 03:32:02,2026-02-17 03:32:29
PAY_000078,ORD_000078,INV_000078,CUST_003142,MERCH_0042,UPI,1499.00,INR,COMPLETED,2026-03-16 17:37:44,2026-03-16 17:38:08
PAY_000079,ORD_000079,INV_000079,CUST_002727,MERCH_0012,CREDIT_CARD,15000.00,INR,COMPLETED,2026-03-26 23:46:07,2026-03-26 23:46:32
PAY_000080,ORD_000080,INV_000080,CUST_001832,MERCH_0030,CREDIT_CARD,26.95,EUR,COMPLETED,2026-01-26 11:43:57,2026-01-26 11:44:18
PAY_000081,ORD_000081,INV_000081,CUST_002568,MERCH_0017,CREDIT_CARD,39.00,USD,COMPLETED,2026-02-07 05:55:07,2026-02-07 05:55:23
PAY_000082,ORD_000082,INV_000082,CUST_001035,MERCH_0087,UPI,499.00,INR,COMPLETED,2026-02-20 19:06:30,2026-02-20 19:06:50
PAY_000083,ORD_000083,INV_000083,CUST_003734,MERCH_0064,CREDIT_CARD,19.95,EUR,COMPLETED,2026-01-15 15:31:33,2026-01-15 15:31:45
PAY_000084,ORD_000084,INV_000084,CUST_004702,MERCH_0091,CREDIT_CARD,466.75,GBP,COMPLETED,2026-02-16 18:28:46,2026-02-16 18:28:59
PAY_000085,ORD_000085,INV_000085,CUST_000431,MERCH_0090,CREDIT_CARD,387.80,GBP,COMPLETED,2026-03-31 23:06:49,2026-03-31 23:07:19
PAY_000086,ORD_000086,INV_000086,CUST_003214,MERCH_0071,CREDIT_CARD,2254.80,GBP,COMPLETED,2026-02-03 02:13:21,2026-02-03 02:13:40
PAY_000087,ORD_000087,INV_000087,CUST_004490,MERCH_0090,CREDIT_CARD,21.50,EUR,COMPLETED,2026-02-08 13:33:22,2026-02-08 13:33:34
PAY_000088,ORD_000088,INV_000088,CUST_003953,MERCH_0057,SEPA,40.75,EUR,COMPLETED,2026-01-29 14:16:09,2026-01-29 14:16:12
PAY_000089,ORD_000089,INV_000089,CUST_003499,MERCH_0049,CREDIT_CARD,75.00,GBP,COMPLETED,2026-03-08 07:13:19,2026-03-08 07:13:25
PAY_000090,ORD_000090,INV_000090,CUST_003310,MERCH_0020,DEBIT_CARD,77.49,USD,COMPLETED,2026-01-25 02:53:37,2026-01-25 02:53:59
PAY_000091,ORD_000091,INV_000091,CUST_000735,MERCH_0086,CREDIT_CARD,71.25,USD,COMPLETED,2026-03-17 20:14:38,2026-03-17 20:14:44
PAY_000092,ORD_000092,INV_000092,CUST_004176,MERCH_0063,CREDIT_CARD,27.80,USD,COMPLETED,2026-01-23 04:08:11,2026-01-23 04:08:19
PAY_000093,ORD_000093,INV_000093,CUST_003553,MERCH_0090,CREDIT_CARD,23.50,USD,COMPLETED,2026-01-30 07:14:13,2026-01-30 07:14:41
PAY_000094,ORD_000094,INV_000094,CUST_000162,MERCH_0090,CREDIT_CARD,30.80,GBP,COMPLETED,2026-02-08 13:36:44,2026-02-08 13:36:53
PAY_000095,ORD_000095,INV_000095,CUST_004545,MERCH_0001,DEBIT_CARD,41.49,USD,COMPLETED,2026-02-13 18:07:41,2026-02-13 18:07:46
PAY_000096,ORD_000096,INV_000096,CUST_002979,MERCH_0039,CREDIT_CARD,3346.25,GBP,COMPLETED,2026-02-23 04:36:25,2026-02-23 04:36:37
PAY_000097,ORD_000097,INV_000097,CUST_004728,MERCH_0018,DEBIT_CARD,603.99,USD,COMPLETED,2026-02-17 22:48:52,2026-02-17 22:48:58
PAY_000098,ORD_000098,INV_000098,CUST_001161,MERCH_0025,CREDIT_CARD,302.50,CAD,COMPLETED,2026-01-30 10:22:23,2026-01-30 10:22:34
PAY_000099,ORD_000099,INV_000099,CUST_002089,MERCH_0071,SEPA,166.50,EUR,COMPLETED,2026-01-26 15:24:55,2026-01-26 15:25:11
PAY_000100,ORD_000100,INV_000100,CUST_002207,MERCH_0010,CREDIT_CARD,604.75,GBP,COMPLETED,2026-03-03 19:16:34,2026-03-03 19:16:50
PAY_000101,ORD_000101,INV_000101,CUST_000213,MERCH_0049,CREDIT_CARD,1499.00,INR,COMPLETED,2026-02-28 22:30:24,2026-02-28 22:30:30
PAY_000102,ORD_000102,INV_000102,CUST_002699,MERCH_0009,ACH,1770.99,USD,COMPLETED,2026-03-04 11:43:18,2026-03-04 11:43:46
PAY_000103,ORD_000103,INV_000103,CUST_003090,MERCH_0013,SEPA,207.49,EUR,COMPLETED,2026-01-22 21:49:23,2026-01-22 21:49:49
PAY_000104,ORD_000104,INV_000104,CUST_002859,MERCH_0068,CREDIT_CARD,182.95,USD,COMPLETED,2026-03-10 08:10:46,2026-03-10 08:10:59
PAY_000105,ORD_000105,INV_000105,CUST_004356,MERCH_0095,CREDIT_CARD,211.25,EUR,COMPLETED,2026-02-23 21:29:17,2026-02-23 21:29:41
PAY_000106,ORD_000106,INV_000106,CUST_003104,MERCH_0019,UPI,15000.00,INR,COMPLETED,2026-02-25 10:30:44,2026-02-25 10:31:11
PAY_000107,ORD_000107,INV_000107,CUST_003596,MERCH_0024,CREDIT_CARD,69.95,USD,COMPLETED,2026-02-04 16:52:59,2026-02-04 16:53:28
PAY_000108,ORD_000108,INV_000108,CUST_002504,MERCH_0012,DEBIT_CARD,174.49,USD,COMPLETED,2026-02-09 19:14:53,2026-02-09 19:14:58
PAY_000109_DUP,ORD_000109,INV_000109,CUST_004540,MERCH_0037,CREDIT_CARD,220.25,USD,COMPLETED,2026-02-18 04:25:44,2026-02-18 04:26:08
PAY_000109,ORD_000109,INV_000109,CUST_004540,MERCH_0037,CREDIT_CARD,220.25,USD,COMPLETED,2026-02-18 04:25:29,2026-02-18 04:25:48
PAY_000110,ORD_000110,INV_000110,CUST_001558,MERCH_0002,CREDIT_CARD,434.25,USD,COMPLETED,2026-03-30 18:31:08,2026-03-30 18:31:32
PAY_000111,ORD_000111,INV_000111,CUST_001381,MERCH_0058,CREDIT_CARD,61.75,CAD,COMPLETED,2026-03-07 19:45:02,2026-03-07 19:45:21
PAY_000112,ORD_000112,INV_000112,CUST_003106,MERCH_0064,CREDIT_CARD,46.49,EUR,COMPLETED,2026-01-17 21:15:23,2026-01-17 21:15:53
PAY_000113,ORD_000113,INV_000113,CUST_002405,MERCH_0062,CREDIT_CARD,484.00,CAD,COMPLETED,2026-01-27 00:54:50,2026-01-27 00:55:13
PAY_000114,ORD_000114,INV_000114,CUST_002915,MERCH_0008,CREDIT_CARD,60.80,EUR,COMPLETED,2026-01-01 21:43:38,2026-01-01 21:43:52
PAY_000115,ORD_000115,INV_000115,CUST_000831,MERCH_0002,CREDIT_CARD,80.75,EUR,COMPLETED,2026-02-12 03:50:44,2026-02-12 03:50:50
PAY_000116,ORD_000116,INV_000116,CUST_002050,MERCH_0099,CREDIT_CARD,61.25,EUR,COMPLETED,2026-01-23 06:50:24,2026-01-23 06:50:44
PAY_000117,ORD_000117,INV_000117,CUST_003600,MERCH_0085,SEPA,86.99,EUR,COMPLETED,2026-01-17 01:06:04,2026-01-17 01:06:29
PAY_000118,ORD_000118,INV_000118,CUST_000330,MERCH_0037,SEPA,113.25,EUR,COMPLETED,2026-01-14 07:29:51,2026-01-14 07:30:00
PAY_000119,ORD_000119,INV_000119,CUST_004007,MERCH_0054,CREDIT_CARD,66.50,EUR,COMPLETED,2026-02-23 17:52:51,2026-02-23 17:53:17
PAY_000120,ORD_000120,INV_000120,CUST_000174,MERCH_0014,SEPA,323.99,EUR,COMPLETED,2026-01-13 13:53:21,2026-01-13 13:53:50
PAY_000121_DUP,ORD_000121,INV_000121,CUST_003934,MERCH_0056,CREDIT_CARD,69.80,USD,COMPLETED,2026-01-29 10:30:37,2026-01-29 10:30:49
PAY_000121,ORD_000121,INV_000121,CUST_003934,MERCH_0056,CREDIT_CARD,69.80,USD,COMPLETED,2026-01-29 10:30:22,2026-01-29 10:30:29
PAY_000122,ORD_000122,INV_000122,CUST_000943,MERCH_0036,UPI,15000.00,INR,COMPLETED,2026-03-26 05:39:16,2026-03-26 05:39:25
PAY_000124,ORD_000124,INV_000124,CUST_001636,MERCH_0003,DEBIT_CARD,394.25,USD,COMPLETED,2026-01-10 03:53:41,2026-01-10 03:53:51
PAY_000125,ORD_000125,INV_000125,CUST_004177,MERCH_0008,CREDIT_CARD,49.00,GBP,COMPLETED,2026-02-11 19:09:06,2026-02-11 19:09:20
PAY_000126,ORD_000126,INV_000126,CUST_001489,MERCH_0007,CREDIT_CARD,410.00,USD,COMPLETED,2026-01-05 07:16:42,2026-01-05 07:17:00
PAY_000127,ORD_000127,INV_000127,CUST_004025,MERCH_0033,DEBIT_CARD,16.95,USD,COMPLETED,2026-02-05 15:12:20,2026-02-05 15:12:47
PAY_000128,ORD_000128,INV_000128,CUST_002961,MERCH_0095,CREDIT_CARD,50.99,USD,COMPLETED,2026-03-14 11:09:25,2026-03-14 11:09:40
PAY_000129,ORD_000129,INV_000129,CUST_004931,MERCH_0081,DEBIT_CARD,72.75,USD,COMPLETED,2026-01-13 00:26:45,2026-01-13 00:27:05
PAY_000130,ORD_000130,INV_000130,CUST_003885,MERCH_0093,CREDIT_CARD,39.50,CAD,COMPLETED,2026-03-16 05:13:50,2026-03-16 05:14:15
PAY_000131,ORD_000131,INV_000131,CUST_003674,MERCH_0047,CREDIT_CARD,68.25,EUR,COMPLETED,2026-03-03 11:41:27,2026-03-03 11:41:55
PAY_000132,ORD_000132,INV_000132,CUST_004639,MERCH_0006,CREDIT_CARD,626.25,CAD,COMPLETED,2026-01-07 05:39:31,2026-01-07 05:39:39
PAY_000133,ORD_000133,INV_000133,CUST_003197,MERCH_0072,CREDIT_CARD,15.95,EUR,COMPLETED,2026-02-09 06:02:44,2026-02-09 06:02:53
PAY_000134,ORD_000134,INV_000134,CUST_004302,MERCH_0065,CREDIT_CARD,49.75,USD,COMPLETED,2026-01-26 11:07:42,2026-01-26 11:07:50
PAY_000135,ORD_000135,INV_000135,CUST_002391,MERCH_0031,CREDIT_CARD,1788.50,GBP,COMPLETED,2026-01-05 03:05:16,2026-01-05 03:05:46
PAY_000136,ORD_000136,INV_000136,CUST_000952,MERCH_0069,CREDIT_CARD,458.99,GBP,COMPLETED,2026-01-01 11:15:43,2026-01-01 11:16:08
PAY_000137,ORD_000137,INV_000137,CUST_002416,MERCH_0053,DEBIT_CARD,305.00,USD,COMPLETED,2026-02-01 20:27:16,2026-02-01 20:27:24
PAY_000138,ORD_000138,INV_000138,CUST_004779,MERCH_0100,SEPA,3249.95,EUR,COMPLETED,2026-01-11 16:01:46,2026-01-11 16:01:55
PAY_000139,ORD_000139,INV_000139,CUST_004765,MERCH_0027,SEPA,525.50,EUR,COMPLETED,2026-03-03 11:32:30,2026-03-03 11:32:48
PAY_000140,ORD_000140,INV_000140,CUST_001516,MERCH_0059,CREDIT_CARD,295.75,GBP,COMPLETED,2026-03-21 12:28:51,2026-03-21 12:28:54
PAY_000141,ORD_000141,INV_000141,CUST_004980,MERCH_0088,ACH,46.50,USD,COMPLETED,2026-01-19 13:43:03,2026-01-19 13:43:18
PAY_000142,ORD_000142,INV_000142,CUST_000097,MERCH_0094,CREDIT_CARD,29.25,EUR,COMPLETED,2026-02-28 21:46:32,2026-02-28 21:46:59
PAY_000143,ORD_000143,INV_000143,CUST_000685,MERCH_0099,SEPA,90.00,EUR,COMPLETED,2026-01-27 07:41:05,2026-01-27 07:41:25
PAY_000144,ORD_000144,INV_000144,CUST_003936,MERCH_0018,CREDIT_CARD,395.80,USD,COMPLETED,2026-03-16 02:09:48,2026-03-16 02:09:55
PAY_000145,ORD_000145,INV_000145,CUST_002192,MERCH_0089,CREDIT_CARD,20.49,GBP,COMPLETED,2026-03-03 06:08:52,2026-03-03 06:09:04
PAY_000146_DUP,ORD_000146,INV_000146,CUST_001838,MERCH_0001,CREDIT_CARD,2499.00,INR,COMPLETED,2026-01-03 15:55:48,2026-01-03 15:56:16
PAY_000146,ORD_000146,INV_000146,CUST_001838,MERCH_0001,CREDIT_CARD,2499.00,INR,COMPLETED,2026-01-03 15:55:33,2026-01-03 15:55:56
PAY_000147,ORD_000147,INV_000147,CUST_000921,MERCH_0088,CREDIT_CARD,51.49,GBP,COMPLETED,2026-02-18 02:01:30,2026-02-18 02:01:52
PAY_000148,ORD_000148,INV_000148,CUST_000356,MERCH_0011,SEPA,423.50,EUR,COMPLETED,2026-03-01 00:36:07,2026-03-01 00:36:31
PAY_000149,ORD_000149,INV_000149,CUST_002352,MERCH_0080,CREDIT_CARD,3361.95,EUR,COMPLETED,2026-02-04 03:47:50,2026-02-04 03:48:18
PAY_000150,ORD_000150,INV_000150,CUST_001201,MERCH_0100,SEPA,570.25,EUR,COMPLETED,2026-02-01 10:15:02,2026-02-01 10:15:08
PAY_000151,ORD_000151,INV_000151,CUST_000741,MERCH_0019,SEPA,442.50,EUR,COMPLETED,2026-02-01 16:46:08,2026-02-01 16:46:24
PAY_000152,ORD_000152,INV_000152,CUST_002015,MERCH_0018,CREDIT_CARD,585.80,GBP,COMPLETED,2026-02-07 12:53:10,2026-02-07 12:53:39
PAY_000153,ORD_000153,INV_000153,CUST_003456,MERCH_0075,CREDIT_CARD,321.75,USD,COMPLETED,2026-02-21 11:52:22,2026-02-21 11:52:31
PAY_000154,ORD_000154,INV_000154,CUST_001095,MERCH_0061,CREDIT_CARD,2129.00,EUR,COMPLETED,2026-03-31 17:51:43,2026-03-31 17:52:13
PAY_000155,ORD_000155,INV_000155,CUST_004518,MERCH_0019,CREDIT_CARD,43.75,GBP,COMPLETED,2026-03-30 23:20:12,2026-03-30 23:20:19
PAY_000156,ORD_000156,INV_000156,CUST_000216,MERCH_0094,CREDIT_CARD,28.99,GBP,COMPLETED,2026-03-09 22:04:59,2026-03-09 22:05:04
PAY_000157,ORD_000157,INV_000157,CUST_001204,MERCH_0004,SEPA,16.49,EUR,COMPLETED,2026-02-05 19:04:50,2026-02-05 19:05:19
PAY_000158,ORD_000158,INV_000158,CUST_001148,MERCH_0061,CREDIT_CARD,426.95,CAD,COMPLETED,2026-03-14 23:12:57,2026-03-14 23:13:20
PAY_000159,ORD_000159,INV_000159,CUST_001278,MERCH_0015,CREDIT_CARD,258.00,GBP,COMPLETED,2026-01-07 03:48:43,2026-01-07 03:48:46
PAY_000160,ORD_000160,INV_000160,CUST_002114,MERCH_0071,CREDIT_CARD,514.95,USD,COMPLETED,2026-03-31 13:46:30,2026-03-31 13:46:35
PAY_000161,ORD_000161,INV_000161,CUST_001736,MERCH_0017,CREDIT_CARD,38.00,EUR,COMPLETED,2026-02-09 05:00:18,2026-02-09 05:00:38
PAY_000162,ORD_000162,INV_000162,CUST_003319,MERCH_0041,SEPA,62.50,EUR,COMPLETED,2026-03-22 15:38:26,2026-03-22 15:38:35
PAY_000163,ORD_000163,INV_000163,CUST_002972,MERCH_0010,DEBIT_CARD,35.00,USD,COMPLETED,2026-02-28 21:32:05,2026-02-28 21:32:10
