bank_entry_id,settlement_batch_id,booked_at,credited_amount,currency,bank_reference,description
SYNTH-BANK-000011,SYNTH-BATCH-BANK-CURRENCY-002230,2026-01-30T10:15:28Z,294.58,USD,SYNTH-BANK-REF-000011,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-002230
SYNTH-BANK-000012,SYNTH-BATCH-BANK-CURRENCY-002835,2026-01-15T20:25:22Z,120.55,EUR,SYNTH-BANK-REF-000012,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-002835
SYNTH-BANK-000013,SYNTH-BATCH-BANK-CURRENCY-002944,2026-01-31T20:16:48Z,2254.67,EUR,SYNTH-BANK-REF-000013,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-002944
SYNTH-BANK-000014,SYNTH-BATCH-BANK-CURRENCY-003043,2026-01-06T22:39:05Z,1556.06,EUR,SYNTH-BANK-REF-000014,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-003043
SYNTH-BANK-000015,SYNTH-BATCH-BANK-CURRENCY-004223,2026-01-08T02:25:04Z,1618.85,EUR,SYNTH-BANK-REF-000015,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-004223
SYNTH-BANK-000016,SYNTH-BATCH-BANK-CURRENCY-004707,2026-01-27T10:26:41Z,2151.96,EUR,SYNTH-BANK-REF-000016,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-004707
SYNTH-BANK-000017,SYNTH-BATCH-BANK-CURRENCY-005466,2026-01-11T00:17:53Z,638.28,EUR,SYNTH-BANK-REF-000017,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-005466
SYNTH-BANK-000018,SYNTH-BATCH-BANK-CURRENCY-005896,2026-01-07T10:08:06Z,1489.85,EUR,SYNTH-BANK-REF-000018,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-005896
SYNTH-BANK-000019,SYNTH-BATCH-BANK-CURRENCY-005978,2026-01-27T22:30:51Z,346.34,EUR,SYNTH-BANK-REF-000019,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-005978
SYNTH-BANK-000020,SYNTH-BATCH-BANK-CURRENCY-009256,2026-01-19T09:41:09Z,2060.45,EUR,SYNTH-BANK-REF-000020,Synthetic settlement for SYNTH-BATCH-BANK-CURRENCY-009256
SYNTH-BANK-000021,SYNTH-BATCH-CURRENCY-001391,2026-01-28T12:19:33Z,1661.21,USD,SYNTH-BANK-REF-000021,Synthetic settlement for SYNTH-BATCH-CURRENCY-001391
SYNTH-BANK-000022,SYNTH-BATCH-CURRENCY-001473,2026-01-17T00:39:13Z,1679.53,EUR,SYNTH-BANK-REF-000022,Synthetic settlement for SYNTH-BATCH-CURRENCY-001473
SYNTH-BANK-000023,SYNTH-BATCH-CURRENCY-001854,2026-01-26T23:11:32Z,358.83,EUR,SYNTH-BANK-REF-000023,Synthetic settlement for SYNTH-BATCH-CURRENCY-001854
SYNTH-BANK-000024,SYNTH-BATCH-CURRENCY-002667,2026-01-02T10:55:13Z,1604.97,EUR,SYNTH-BANK-REF-000024,Synthetic settlement for SYNTH-BATCH-CURRENCY-002667
SYNTH-BANK-000025,SYNTH-BATCH-CURRENCY-003091,2026-01-23T07:34:47Z,2183.53,USD,SYNTH-BANK-REF-000025,Synthetic settlement for SYNTH-BATCH-CURRENCY-003091
SYNTH-BANK-000026,SYNTH-BATCH-CURRENCY-008933,2026-01-06T18:21:01Z,635.45,EUR,SYNTH-BANK-REF-000026,Synthetic settlement for SYNTH-BATCH-CURRENCY-008933
SYNTH-BANK-000027,SYNTH-BATCH-CURRENCY-009138,2026-01-25T14:09:21Z,2259.56,EUR,SYNTH-BANK-REF-000027,Synthetic settlement for SYNTH-BATCH-CURRENCY-009138
SYNTH-BANK-000028,SYNTH-BATCH-CURRENCY-009410,2026-01-18T12:02:51Z,1081.54,USD,SYNTH-BANK-REF-000028,Synthetic settlement for SYNTH-BATCH-CURRENCY-009410
SYNTH-BANK-000029,SYNTH-BATCH-CURRENCY-009709,2026-01-07T21:57:19Z,2081.20,EUR,SYNTH-BANK-REF-000029,Synthetic settlement for SYNTH-BATCH-CURRENCY-009709
SYNTH-BANK-000030,SYNTH-BATCH-CURRENCY-009723,2026-01-21T04:07:13Z,1619.67,EUR,SYNTH-BANK-REF-000030,Synthetic settlement for SYNTH-BATCH-CURRENCY-009723
SYNTH-BANK-000031,SYNTH-BATCH-EUR-2026-01-03-0000,2026-01-02T16:20:42Z,2511.10,EUR,SYNTH-BANK-REF-000031,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0000
SYNTH-BANK-000032,SYNTH-BATCH-EUR-2026-01-03-0001,2026-01-02T22:19:53Z,2407.29,EUR,SYNTH-BANK-REF-000032,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0001
SYNTH-BANK-000033,SYNTH-BATCH-EUR-2026-01-03-0002,2026-01-02T18:35:28Z,2360.50,EUR,SYNTH-BANK-REF-000033,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0002
SYNTH-BANK-000034,SYNTH-BATCH-EUR-2026-01-03-0003,2026-01-03T00:06:16Z,4122.87,EUR,SYNTH-BANK-REF-000034,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0003
SYNTH-BANK-000035,SYNTH-BATCH-EUR-2026-01-03-0004,2026-01-02T19:53:56Z,971.68,EUR,SYNTH-BANK-REF-000035,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0004
SYNTH-BANK-000036,SYNTH-BATCH-EUR-2026-01-03-0005,2026-01-02T15:34:12Z,3147.00,EUR,SYNTH-BANK-REF-000036,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0005
SYNTH-BANK-000037,SYNTH-BATCH-EUR-2026-01-03-0006,2026-01-02T20:56:53Z,4201.25,EUR,SYNTH-BANK-REF-000037,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0006
SYNTH-BANK-000038,SYNTH-BATCH-EUR-2026-01-03-0007,2026-01-02T16:56:56Z,3638.00,EUR,SYNTH-BANK-REF-000038,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0007
SYNTH-BANK-000039,SYNTH-BATCH-EUR-2026-01-03-0008,2026-01-02T22:43:20Z,633.93,EUR,SYNTH-BANK-REF-000039,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0008
SYNTH-BANK-000040,SYNTH-BATCH-EUR-2026-01-03-0009,2026-01-02T18:34:34Z,2818.56,EUR,SYNTH-BANK-REF-000040,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0009
SYNTH-BANK-000041,SYNTH-BATCH-EUR-2026-01-03-0010,2026-01-02T23:57:27Z,2374.24,EUR,SYNTH-BANK-REF-000041,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0010
SYNTH-BANK-000042,SYNTH-BATCH-EUR-2026-01-03-0011,2026-01-02T20:34:37Z,5320.37,EUR,SYNTH-BANK-REF-000042,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0011
SYNTH-BANK-000043,SYNTH-BATCH-EUR-2026-01-03-0012,2026-01-02T11:55:05Z,2422.36,EUR,SYNTH-BANK-REF-000043,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-03-0012
SYNTH-BANK-000044,SYNTH-BATCH-EUR-2026-01-04-0000,2026-01-03T22:36:48Z,3028.48,EUR,SYNTH-BANK-REF-000044,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0000
SYNTH-BANK-000045,SYNTH-BATCH-EUR-2026-01-04-0001,2026-01-03T18:41:01Z,4574.54,EUR,SYNTH-BANK-REF-000045,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0001
SYNTH-BANK-000046,SYNTH-BATCH-EUR-2026-01-04-0002,2026-01-03T09:44:19Z,2384.12,EUR,SYNTH-BANK-REF-000046,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0002
SYNTH-BANK-000047,SYNTH-BATCH-EUR-2026-01-04-0003,2026-01-03T19:47:19Z,4686.60,EUR,SYNTH-BANK-REF-000047,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0003
SYNTH-BANK-000048,SYNTH-BATCH-EUR-2026-01-04-0004,2026-01-03T11:47:36Z,1942.47,EUR,SYNTH-BANK-REF-000048,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0004
SYNTH-BANK-000049,SYNTH-BATCH-EUR-2026-01-04-0005,2026-01-03T21:19:14Z,1993.59,EUR,SYNTH-BANK-REF-000049,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0005
SYNTH-BANK-000050,SYNTH-BATCH-EUR-2026-01-04-0006,2026-01-03T13:01:38Z,130.28,EUR,SYNTH-BANK-REF-000050,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0006
SYNTH-BANK-000051,SYNTH-BATCH-EUR-2026-01-04-0007,2026-01-03T23:00:03Z,2087.83,EUR,SYNTH-BANK-REF-000051,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0007
SYNTH-BANK-000052,SYNTH-BATCH-EUR-2026-01-04-0008,2026-01-03T15:09:16Z,2425.94,EUR,SYNTH-BANK-REF-000052,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0008
SYNTH-BANK-000053,SYNTH-BATCH-EUR-2026-01-04-0009,2026-01-03T20:30:59Z,3204.01,EUR,SYNTH-BANK-REF-000053,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0009
SYNTH-BANK-000054,SYNTH-BATCH-EUR-2026-01-04-0010,2026-01-03T15:56:31Z,3418.80,EUR,SYNTH-BANK-REF-000054,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0010
SYNTH-BANK-000055,SYNTH-BATCH-EUR-2026-01-04-0011,2026-01-03T22:23:12Z,2531.92,EUR,SYNTH-BANK-REF-000055,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0011
SYNTH-BANK-000056,SYNTH-BATCH-EUR-2026-01-04-0012,2026-01-03T18:10:31Z,2071.69,EUR,SYNTH-BANK-REF-000056,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0012
SYNTH-BANK-000057,SYNTH-BATCH-EUR-2026-01-05-0000,2026-01-04T14:43:02Z,2675.40,EUR,SYNTH-BANK-REF-000057,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0000
SYNTH-BANK-000058,SYNTH-BATCH-EUR-2026-01-05-0001,2026-01-04T19:53:57Z,4405.26,EUR,SYNTH-BANK-REF-000058,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0001
SYNTH-BANK-000059,SYNTH-BATCH-EUR-2026-01-05-0002,2026-01-04T16:30:20Z,3380.56,EUR,SYNTH-BANK-REF-000059,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0002
SYNTH-BANK-000060,SYNTH-BATCH-EUR-2026-01-05-0003,2026-01-04T21:29:30Z,2886.19,EUR,SYNTH-BANK-REF-000060,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0003
SYNTH-BANK-000061,SYNTH-BATCH-EUR-2026-01-05-0004,2026-01-04T17:30:28Z,1357.05,EUR,SYNTH-BANK-REF-000061,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0004
SYNTH-BANK-000062,SYNTH-BATCH-EUR-2026-01-05-0005,2026-01-04T23:20:27Z,3280.99,EUR,SYNTH-BANK-REF-000062,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0005
SYNTH-BANK-000063,SYNTH-BATCH-EUR-2026-01-05-0006,2026-01-04T18:45:04Z,3071.77,EUR,SYNTH-BANK-REF-000063,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0006
SYNTH-BANK-000064,SYNTH-BATCH-EUR-2026-01-05-0007,2026-01-04T14:48:48Z,3821.69,EUR,SYNTH-BANK-REF-000064,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0007
SYNTH-BANK-000065,SYNTH-BATCH-EUR-2026-01-05-0008,2026-01-04T20:41:45Z,1710.88,EUR,SYNTH-BANK-REF-000065,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0008
SYNTH-BANK-000066,SYNTH-BATCH-EUR-2026-01-05-0009,2026-01-04T17:01:56Z,3548.25,EUR,SYNTH-BANK-REF-000066,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0009
SYNTH-BANK-000067,SYNTH-BATCH-EUR-2026-01-05-0010,2026-01-04T22:44:24Z,1753.25,EUR,SYNTH-BANK-REF-000067,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0010
SYNTH-BANK-000068,SYNTH-BATCH-EUR-2026-01-05-0011,2026-01-04T17:43:13Z,2859.70,EUR,SYNTH-BANK-REF-000068,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0011
SYNTH-BANK-000069,SYNTH-BATCH-EUR-2026-01-05-0012,2026-01-04T23:35:08Z,1922.85,EUR,SYNTH-BANK-REF-000069,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-05-0012
SYNTH-BANK-000070,SYNTH-BATCH-EUR-2026-01-06-0000,2026-01-05T20:40:24Z,2949.38,EUR,SYNTH-BANK-REF-000070,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0000
SYNTH-BANK-000071,SYNTH-BATCH-EUR-2026-01-06-0001,2026-01-05T16:37:12Z,3047.57,EUR,SYNTH-BANK-REF-000071,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0001
SYNTH-BANK-000072,SYNTH-BATCH-EUR-2026-01-06-0002,2026-01-05T22:00:30Z,3208.87,EUR,SYNTH-BANK-REF-000072,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0002
SYNTH-BANK-000073,SYNTH-BATCH-EUR-2026-01-06-0003,2026-01-05T17:59:15Z,1073.00,EUR,SYNTH-BANK-REF-000073,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0003
SYNTH-BANK-000074,SYNTH-BATCH-EUR-2026-01-06-0004,2026-01-05T23:41:32Z,1942.35,EUR,SYNTH-BANK-REF-000074,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0004
SYNTH-BANK-000075,SYNTH-BATCH-EUR-2026-01-06-0005,2026-01-05T19:27:28Z,3304.80,EUR,SYNTH-BANK-REF-000075,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0005
SYNTH-BANK-000076,SYNTH-BATCH-EUR-2026-01-06-0006,2026-01-05T15:30:35Z,2886.14,EUR,SYNTH-BANK-REF-000076,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0006
SYNTH-BANK-000077,SYNTH-BATCH-EUR-2026-01-06-0007,2026-01-05T21:17:05Z,5242.95,EUR,SYNTH-BANK-REF-000077,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0007
SYNTH-BANK-000078,SYNTH-BATCH-EUR-2026-01-06-0008,2026-01-05T16:40:04Z,1761.83,EUR,SYNTH-BANK-REF-000078,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0008
SYNTH-BANK-000079,SYNTH-BATCH-EUR-2026-01-06-0009,2026-01-05T22:17:42Z,4654.52,EUR,SYNTH-BANK-REF-000079,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0009
SYNTH-BANK-000080,SYNTH-BATCH-EUR-2026-01-06-0010,2026-01-05T18:23:07Z,3914.49,EUR,SYNTH-BANK-REF-000080,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0010
SYNTH-BANK-000081,SYNTH-BATCH-EUR-2026-01-06-0011,2026-01-05T14:44:27Z,2862.70,EUR,SYNTH-BANK-REF-000081,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0011
SYNTH-BANK-000082,SYNTH-BATCH-EUR-2026-01-06-0012,2026-01-05T20:02:19Z,2796.09,EUR,SYNTH-BANK-REF-000082,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0012
SYNTH-BANK-000083,SYNTH-BATCH-EUR-2026-01-07-0000,2026-01-06T17:06:59Z,2677.06,EUR,SYNTH-BANK-REF-000083,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0000
SYNTH-BANK-000084,SYNTH-BATCH-EUR-2026-01-07-0001,2026-01-06T22:18:16Z,1573.22,EUR,SYNTH-BANK-REF-000084,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0001
SYNTH-BANK-000085,SYNTH-BATCH-EUR-2026-01-07-0002,2026-01-06T18:19:21Z,4121.64,EUR,SYNTH-BANK-REF-000085,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0002
SYNTH-BANK-000086,SYNTH-BATCH-EUR-2026-01-07-0003,2026-01-06T23:58:18Z,1998.88,EUR,SYNTH-BANK-REF-000086,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0003
SYNTH-BANK-000087,SYNTH-BATCH-EUR-2026-01-07-0004,2026-01-06T20:04:24Z,1355.98,EUR,SYNTH-BANK-REF-000087,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0004
SYNTH-BANK-000088,SYNTH-BATCH-EUR-2026-01-07-0005,2026-01-06T15:59:58Z,3338.39,EUR,SYNTH-BANK-REF-000088,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0005
SYNTH-BANK-000089,SYNTH-BATCH-EUR-2026-01-07-0006,2026-01-06T20:56:08Z,2123.52,EUR,SYNTH-BANK-REF-000089,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0006
SYNTH-BANK-000090,SYNTH-BATCH-EUR-2026-01-07-0007,2026-01-06T17:21:01Z,4761.78,EUR,SYNTH-BANK-REF-000090,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0007
SYNTH-BANK-000091,SYNTH-BATCH-EUR-2026-01-07-0008,2026-01-06T22:51:27Z,3053.70,EUR,SYNTH-BANK-REF-000091,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0008
SYNTH-BANK-000092,SYNTH-BATCH-EUR-2026-01-07-0009,2026-01-06T18:22:42Z,2688.36,EUR,SYNTH-BANK-REF-000092,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0009
SYNTH-BANK-000093,SYNTH-BATCH-EUR-2026-01-07-0010,2026-01-06T23:59:47Z,4070.84,EUR,SYNTH-BANK-REF-000093,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0010
SYNTH-BANK-000094,SYNTH-BATCH-EUR-2026-01-07-0011,2026-01-06T20:08:54Z,3811.97,EUR,SYNTH-BANK-REF-000094,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0011
SYNTH-BANK-000095,SYNTH-BATCH-EUR-2026-01-07-0012,2026-01-06T12:04:35Z,2851.57,EUR,SYNTH-BANK-REF-000095,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-07-0012
SYNTH-BANK-000096,SYNTH-BATCH-EUR-2026-01-08-0000,2026-01-07T22:37:46Z,2436.24,EUR,SYNTH-BANK-REF-000096,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0000
SYNTH-BANK-000097,SYNTH-BATCH-EUR-2026-01-08-0001,2026-01-07T14:19:29Z,2018.75,EUR,SYNTH-BANK-REF-000097,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0001
SYNTH-BANK-000098,SYNTH-BATCH-EUR-2026-01-08-0002,2026-01-07T19:51:27Z,2877.64,EUR,SYNTH-BANK-REF-000098,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0002
SYNTH-BANK-000099,SYNTH-BATCH-EUR-2026-01-08-0003,2026-01-07T15:27:43Z,3189.12,EUR,SYNTH-BANK-REF-000099,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0003
SYNTH-BANK-000100,SYNTH-BATCH-EUR-2026-01-08-0004,2026-01-07T21:07:50Z,4032.53,EUR,SYNTH-BANK-REF-000100,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0004
SYNTH-BANK-000101,SYNTH-BATCH-EUR-2026-01-08-0005,2026-01-07T17:48:14Z,3024.64,EUR,SYNTH-BANK-REF-000101,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0005
SYNTH-BANK-000102,SYNTH-BATCH-EUR-2026-01-08-0006,2026-01-07T23:25:59Z,1229.68,EUR,SYNTH-BANK-REF-000102,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0006
SYNTH-BANK-000103,SYNTH-BATCH-EUR-2026-01-08-0007,2026-01-07T19:00:51Z,1044.68,EUR,SYNTH-BANK-REF-000103,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0007
SYNTH-BANK-000104,SYNTH-BATCH-EUR-2026-01-08-0008,2026-01-07T14:47:37Z,1371.20,EUR,SYNTH-BANK-REF-000104,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0008
SYNTH-BANK-000105,SYNTH-BATCH-EUR-2026-01-08-0009,2026-01-07T20:15:15Z,4278.91,EUR,SYNTH-BANK-REF-000105,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0009
SYNTH-BANK-000106,SYNTH-BATCH-EUR-2026-01-08-0010,2026-01-07T16:42:30Z,3548.45,EUR,SYNTH-BANK-REF-000106,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0010
SYNTH-BANK-000107,SYNTH-BATCH-EUR-2026-01-08-0011,2026-01-07T21:41:54Z,2943.73,EUR,SYNTH-BANK-REF-000107,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0011
SYNTH-BANK-000108,SYNTH-BATCH-EUR-2026-01-08-0012,2026-01-07T18:02:31Z,4156.08,EUR,SYNTH-BANK-REF-000108,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0012
SYNTH-BANK-000109,SYNTH-BATCH-EUR-2026-01-09-0000,2026-01-08T14:13:33Z,5137.36,EUR,SYNTH-BANK-REF-000109,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0000
SYNTH-BANK-000110,SYNTH-BATCH-EUR-2026-01-09-0001,2026-01-08T20:01:55Z,1120.66,EUR,SYNTH-BANK-REF-000110,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0001
SYNTH-BANK-000111,SYNTH-BATCH-EUR-2026-01-09-0002,2026-01-08T16:07:10Z,2610.72,EUR,SYNTH-BANK-REF-000111,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0002
SYNTH-BANK-000112,SYNTH-BATCH-EUR-2026-01-09-0003,2026-01-08T22:06:38Z,988.29,EUR,SYNTH-BANK-REF-000112,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0003
SYNTH-BANK-000113,SYNTH-BATCH-EUR-2026-01-09-0004,2026-01-08T17:17:35Z,3218.43,EUR,SYNTH-BANK-REF-000113,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0004
SYNTH-BANK-000114,SYNTH-BATCH-EUR-2026-01-09-0005,2026-01-08T23:50:13Z,778.80,EUR,SYNTH-BANK-REF-000114,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0005
SYNTH-BANK-000115,SYNTH-BATCH-EUR-2026-01-09-0006,2026-01-08T19:30:40Z,3399.27,EUR,SYNTH-BANK-REF-000115,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0006
SYNTH-BANK-000116,SYNTH-BATCH-EUR-2026-01-09-0007,2026-01-08T14:40:52Z,775.48,EUR,SYNTH-BANK-REF-000116,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0007
SYNTH-BANK-000117,SYNTH-BATCH-EUR-2026-01-09-0008,2026-01-08T20:30:22Z,3656.74,EUR,SYNTH-BANK-REF-000117,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0008
SYNTH-BANK-000118,SYNTH-BATCH-EUR-2026-01-09-0009,2026-01-08T16:49:50Z,3739.29,EUR,SYNTH-BANK-REF-000118,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0009
SYNTH-BANK-000119,SYNTH-BATCH-EUR-2026-01-09-0010,2026-01-08T22:32:50Z,3918.88,EUR,SYNTH-BANK-REF-000119,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0010
SYNTH-BANK-000120,SYNTH-BATCH-EUR-2026-01-09-0011,2026-01-08T18:37:00Z,1555.03,EUR,SYNTH-BANK-REF-000120,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0011
SYNTH-BANK-000121,SYNTH-BATCH-EUR-2026-01-09-0012,2026-01-08T23:33:02Z,385.59,EUR,SYNTH-BANK-REF-000121,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-09-0012
SYNTH-BANK-000122,SYNTH-BATCH-EUR-2026-01-10-0000,2026-01-09T20:10:53Z,972.57,EUR,SYNTH-BANK-REF-000122,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0000
SYNTH-BANK-000123,SYNTH-BATCH-EUR-2026-01-10-0001,2026-01-09T16:37:19Z,2534.22,EUR,SYNTH-BANK-REF-000123,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0001
SYNTH-BANK-000124,SYNTH-BATCH-EUR-2026-01-10-0002,2026-01-09T22:26:37Z,2596.68,EUR,SYNTH-BANK-REF-000124,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0002
SYNTH-BANK-000125,SYNTH-BATCH-EUR-2026-01-10-0003,2026-01-09T18:08:01Z,376.53,EUR,SYNTH-BANK-REF-000125,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0003
