processor_transaction_id,merchant_order_id,processor_event_type,processor_event_time,gross_amount,fee_amount,net_amount,currency,settlement_batch_id,processor_status
SYNTH-PROC-000016,SYNTH-ORDER-000016,CAPTURE,2026-01-02T11:24:55Z,1287.29,37.63,1249.66,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000017,SYNTH-ORDER-000017,CAPTURE,2026-01-03T13:41:42Z,761.14,22.37,738.77,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000018,SYNTH-ORDER-000018,CAPTURE,2026-01-04T16:43:03Z,1163.21,34.03,1129.18,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000019,SYNTH-ORDER-000019,CAPTURE,2026-01-05T18:52:37Z,1073.80,31.44,1042.36,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000020,SYNTH-ORDER-000020,CAPTURE,2026-01-06T20:29:42Z,48.73,1.71,47.02,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000021,SYNTH-ORDER-000021,CAPTURE,2026-01-07T22:32:47Z,729.25,21.45,707.80,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000022,SYNTH-ORDER-000022,CAPTURE,2026-01-01T00:38:02Z,1387.06,40.52,1346.54,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000023,SYNTH-ORDER-000023,CAPTURE,2026-01-02T02:51:02Z,1437.16,41.98,1395.18,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000024,SYNTH-ORDER-000024,CAPTURE,2026-01-03T05:38:03Z,1268.90,37.10,1231.80,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000025,SYNTH-ORDER-000025,CAPTURE,2026-01-04T07:32:22Z,1602.31,46.77,1555.54,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000026,SYNTH-ORDER-000026,CAPTURE,2026-01-05T09:53:38Z,2124.09,61.90,2062.19,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000027,SYNTH-ORDER-000027,CAPTURE,2026-01-06T11:55:06Z,2255.68,65.71,2189.97,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000028,SYNTH-ORDER-000028,CAPTURE,2026-01-07T14:40:33Z,1215.62,35.55,1180.07,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000029,SYNTH-ORDER-000029,CAPTURE,2026-01-01T16:45:28Z,2232.77,65.05,2167.72,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000030,SYNTH-ORDER-000030,CAPTURE,2026-01-02T18:26:47Z,1815.34,52.94,1762.40,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000031,SYNTH-ORDER-000031,CAPTURE,2026-01-03T20:34:20Z,571.97,16.89,555.08,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000032,SYNTH-ORDER-000032,CAPTURE,2026-01-04T22:39:57Z,1173.13,34.32,1138.81,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000033,SYNTH-ORDER-000033,CAPTURE,2026-01-05T00:51:28Z,1959.72,57.13,1902.59,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000034,SYNTH-ORDER-000034,CAPTURE,2026-01-06T03:20:33Z,1682.53,49.09,1633.44,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000035,SYNTH-ORDER-000035,CAPTURE,2026-01-07T05:52:56Z,440.56,13.08,427.48,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000036,SYNTH-ORDER-000036,CAPTURE,2026-01-01T07:22:57Z,1204.12,35.22,1168.90,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000037,SYNTH-ORDER-000037,CAPTURE,2026-01-02T10:25:45Z,1174.22,34.35,1139.87,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000038,SYNTH-ORDER-000038,CAPTURE,2026-01-03T12:34:56Z,1871.76,54.58,1817.18,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000039,SYNTH-ORDER-000039,CAPTURE,2026-01-04T14:01:28Z,722.00,21.24,700.76,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000040,SYNTH-ORDER-000040,CAPTURE,2026-01-05T16:59:57Z,445.09,13.21,431.88,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000041,SYNTH-ORDER-000041,CAPTURE,2026-01-06T18:32:29Z,2333.15,67.96,2265.19,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000042,SYNTH-ORDER-000042,CAPTURE,2026-01-07T20:42:55Z,802.72,23.58,779.14,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000043,SYNTH-ORDER-000043,CAPTURE,2026-01-01T23:27:38Z,596.11,17.59,578.52,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000044,SYNTH-ORDER-000044,CAPTURE,2026-01-02T01:32:38Z,888.02,26.05,861.97,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000045,SYNTH-ORDER-000045,CAPTURE,2026-01-03T03:57:12Z,308.61,9.25,299.36,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000046,SYNTH-ORDER-000046,CAPTURE,2026-01-04T05:29:49Z,1365.15,39.89,1325.26,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000047,SYNTH-ORDER-000047,CAPTURE,2026-01-05T08:26:41Z,2191.81,63.86,2127.95,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000048,SYNTH-ORDER-000048,CAPTURE,2026-01-06T10:37:06Z,460.95,13.67,447.28,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000049,SYNTH-ORDER-000049,CAPTURE,2026-01-07T12:21:49Z,1040.18,30.47,1009.71,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000050,SYNTH-ORDER-000050,CAPTURE,2026-01-01T14:43:46Z,89.08,2.88,86.20,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000051,SYNTH-ORDER-000051,CAPTURE,2026-01-02T16:58:12Z,1615.84,47.16,1568.68,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000052,SYNTH-ORDER-000052,CAPTURE,2026-01-03T19:28:37Z,212.38,6.46,205.92,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000053,SYNTH-ORDER-000053,CAPTURE,2026-01-04T20:56:02Z,2297.97,66.94,2231.03,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000054,SYNTH-ORDER-000054,CAPTURE,2026-01-05T23:51:58Z,1077.69,31.55,1046.14,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000055,SYNTH-ORDER-000055,CAPTURE,2026-01-06T01:56:27Z,1653.82,48.26,1605.56,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000056,SYNTH-ORDER-000056,CAPTURE,2026-01-07T04:05:31Z,1581.67,46.17,1535.50,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000057,SYNTH-ORDER-000057,CAPTURE,2026-01-01T06:18:05Z,277.33,8.34,268.99,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000058,SYNTH-ORDER-000058,CAPTURE,2026-01-02T08:41:40Z,1903.21,55.49,1847.72,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000059,SYNTH-ORDER-000059,CAPTURE,2026-01-03T10:21:50Z,2495.80,72.68,2423.12,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000060,SYNTH-ORDER-000060,CAPTURE,2026-01-04T12:52:13Z,714.24,21.01,693.23,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000061,SYNTH-ORDER-000061,CAPTURE,2026-01-05T15:03:18Z,1271.68,37.18,1234.50,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000062,SYNTH-ORDER-000062,CAPTURE,2026-01-06T17:17:53Z,1839.72,53.65,1786.07,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000063,SYNTH-ORDER-000063,CAPTURE,2026-01-07T19:44:32Z,2472.32,72.00,2400.32,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000064,SYNTH-ORDER-000064,CAPTURE,2026-01-01T21:54:20Z,133.00,4.16,128.84,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000065,SYNTH-ORDER-000065,CAPTURE,2026-01-02T23:28:42Z,1473.40,43.03,1430.37,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000066,SYNTH-ORDER-000066,CAPTURE,2026-01-03T02:09:08Z,1256.12,36.73,1219.39,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000067,SYNTH-ORDER-000067,CAPTURE,2026-01-04T04:11:43Z,99.91,3.20,96.71,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000068,SYNTH-ORDER-000068,CAPTURE,2026-01-05T05:58:19Z,770.25,22.64,747.61,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000069,SYNTH-ORDER-000069,CAPTURE,2026-01-06T08:51:30Z,532.47,15.74,516.73,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000070,SYNTH-ORDER-000070,CAPTURE,2026-01-07T10:51:44Z,378.23,11.27,366.96,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000071,SYNTH-ORDER-000071,CAPTURE,2026-01-01T13:15:22Z,132.62,4.15,128.47,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000072,SYNTH-ORDER-000072,CAPTURE,2026-01-02T15:28:18Z,625.42,18.44,606.98,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000073,SYNTH-ORDER-000073,CAPTURE,2026-01-03T17:39:28Z,1889.05,55.08,1833.97,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000074,SYNTH-ORDER-000074,CAPTURE,2026-01-04T19:14:46Z,538.35,15.91,522.44,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000075,SYNTH-ORDER-000075,CAPTURE,2026-01-05T21:14:47Z,370.45,11.04,359.41,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000076,SYNTH-ORDER-000076,CAPTURE,2026-01-06T23:34:51Z,119.49,3.77,115.72,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000077,SYNTH-ORDER-000077,CAPTURE,2026-01-07T02:09:52Z,1805.83,52.67,1753.16,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000078,SYNTH-ORDER-000078,CAPTURE,2026-01-01T04:27:42Z,970.87,28.46,942.41,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000079,SYNTH-ORDER-000079,CAPTURE,2026-01-02T06:00:25Z,317.72,9.51,308.21,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000080,SYNTH-ORDER-000080,CAPTURE,2026-01-03T09:05:18Z,418.48,12.44,406.04,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000081,SYNTH-ORDER-000081,CAPTURE,2026-01-04T10:52:06Z,1853.19,54.04,1799.15,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000082,SYNTH-ORDER-000082,CAPTURE,2026-01-05T12:41:56Z,2461.94,71.70,2390.24,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000083,SYNTH-ORDER-000083,CAPTURE,2026-01-06T14:59:54Z,1566.81,45.74,1521.07,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000084,SYNTH-ORDER-000084,CAPTURE,2026-01-07T17:22:29Z,1437.79,42.00,1395.79,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000085,SYNTH-ORDER-000085,CAPTURE,2026-01-01T19:54:10Z,1706.24,49.78,1656.46,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000086,SYNTH-ORDER-000086,CAPTURE,2026-01-02T21:52:39Z,2382.24,69.38,2312.86,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000087,SYNTH-ORDER-000087,CAPTURE,2026-01-03T00:25:47Z,467.12,13.85,453.27,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000088,SYNTH-ORDER-000088,CAPTURE,2026-01-04T02:02:29Z,1359.12,39.71,1319.41,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000089,SYNTH-ORDER-000089,CAPTURE,2026-01-05T04:28:55Z,616.07,18.17,597.90,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000090,SYNTH-ORDER-000090,CAPTURE,2026-01-06T06:42:45Z,2369.81,69.02,2300.79,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000091,SYNTH-ORDER-000091,CAPTURE,2026-01-07T08:57:20Z,1918.27,55.93,1862.34,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000092,SYNTH-ORDER-000092,CAPTURE,2026-01-01T10:34:14Z,291.83,8.76,283.07,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000093,SYNTH-ORDER-000093,CAPTURE,2026-01-02T12:46:55Z,219.41,6.66,212.75,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000094,SYNTH-ORDER-000094,CAPTURE,2026-01-03T15:56:18Z,511.15,15.12,496.03,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000095,SYNTH-ORDER-000095,CAPTURE,2026-01-04T17:20:20Z,1608.12,46.94,1561.18,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000096,SYNTH-ORDER-000096,CAPTURE,2026-01-05T19:55:48Z,1065.94,31.21,1034.73,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000097,SYNTH-ORDER-000097,CAPTURE,2026-01-06T21:37:34Z,1337.96,39.10,1298.86,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000098,SYNTH-ORDER-000098,CAPTURE,2026-01-07T00:10:17Z,141.67,4.41,137.26,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000099,SYNTH-ORDER-000099,CAPTURE,2026-01-01T02:25:49Z,2255.06,65.70,2189.36,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000100,SYNTH-ORDER-000100,CAPTURE,2026-01-02T04:10:06Z,2258.32,65.79,2192.53,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
