internal_payment_id,merchant_order_id,occurred_at,gross_amount,currency,payment_status,payment_method,synthetic_customer_reference
SYNTH-INT-000062,SYNTH-ORDER-000062,2026-01-06T17:07:53Z,1839.72,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000062
SYNTH-INT-000063,SYNTH-ORDER-000063,2026-01-07T19:34:32Z,2472.32,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000063
SYNTH-INT-000064,SYNTH-ORDER-000064,2026-01-01T21:44:20Z,133.00,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000064
SYNTH-INT-000065,SYNTH-ORDER-000065,2026-01-02T23:18:42Z,1473.40,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000065
SYNTH-INT-000066,SYNTH-ORDER-000066,2026-01-03T01:59:08Z,1256.12,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000066
SYNTH-INT-000067,SYNTH-ORDER-000067,2026-01-04T04:01:43Z,99.91,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000067
SYNTH-INT-000068,SYNTH-ORDER-000068,2026-01-05T05:48:19Z,770.25,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000068
SYNTH-INT-000069,SYNTH-ORDER-000069,2026-01-06T08:41:30Z,532.47,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000069
SYNTH-INT-000070,SYNTH-ORDER-000070,2026-01-07T10:41:44Z,378.23,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000070
SYNTH-INT-000071,SYNTH-ORDER-000071,2026-01-01T13:05:22Z,132.62,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000071
SYNTH-INT-000072,SYNTH-ORDER-000072,2026-01-02T15:18:18Z,625.42,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000072
SYNTH-INT-000073,SYNTH-ORDER-000073,2026-01-03T17:29:28Z,1889.05,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000073
SYNTH-INT-000074,SYNTH-ORDER-000074,2026-01-04T19:04:46Z,538.35,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000074
SYNTH-INT-000075,SYNTH-ORDER-000075,2026-01-05T21:04:47Z,370.45,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000075
SYNTH-INT-000076,SYNTH-ORDER-000076,2026-01-06T23:24:51Z,119.49,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000076
SYNTH-INT-000077,SYNTH-ORDER-000077,2026-01-07T01:59:52Z,1805.83,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000077
SYNTH-INT-000078,SYNTH-ORDER-000078,2026-01-01T04:17:42Z,970.87,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000078
SYNTH-INT-000079,SYNTH-ORDER-000079,2026-01-02T05:50:25Z,317.72,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000079
SYNTH-INT-000080,SYNTH-ORDER-000080,2026-01-03T08:55:18Z,418.48,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000080
SYNTH-INT-000081,SYNTH-ORDER-000081,2026-01-04T10:42:06Z,1853.19,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000081
SYNTH-INT-000082,SYNTH-ORDER-000082,2026-01-05T12:31:56Z,2461.94,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000082
SYNTH-INT-000083,SYNTH-ORDER-000083,2026-01-06T14:49:54Z,1566.81,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000083
SYNTH-INT-000084,SYNTH-ORDER-000084,2026-01-07T17:12:29Z,1437.79,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000084
SYNTH-INT-000085,SYNTH-ORDER-000085,2026-01-01T19:44:10Z,1706.24,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000085
SYNTH-INT-000086,SYNTH-ORDER-000086,2026-01-02T21:42:39Z,2382.24,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000086
SYNTH-INT-000087,SYNTH-ORDER-000087,2026-01-03T00:15:47Z,467.12,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000087
SYNTH-INT-000088,SYNTH-ORDER-000088,2026-01-04T01:52:29Z,1359.12,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000088
SYNTH-INT-000089,SYNTH-ORDER-000089,2026-01-05T04:18:55Z,616.07,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000089
SYNTH-INT-000090,SYNTH-ORDER-000090,2026-01-06T06:32:45Z,2369.81,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000090
SYNTH-INT-000091,SYNTH-ORDER-000091,2026-01-07T08:47:20Z,1918.27,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000091
SYNTH-INT-000092,SYNTH-ORDER-000092,2026-01-01T10:24:14Z,291.83,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000092
SYNTH-INT-000093,SYNTH-ORDER-000093,2026-01-02T12:36:55Z,219.41,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000093
SYNTH-INT-000094,SYNTH-ORDER-000094,2026-01-03T15:46:18Z,511.15,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000094
SYNTH-INT-000095,SYNTH-ORDER-000095,2026-01-04T17:10:20Z,1608.12,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000095
SYNTH-INT-000096,SYNTH-ORDER-000096,2026-01-05T19:45:48Z,1065.94,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000096
SYNTH-INT-000097,SYNTH-ORDER-000097,2026-01-06T21:27:34Z,1337.96,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000097
SYNTH-INT-000098,SYNTH-ORDER-000098,2026-01-07T00:00:17Z,141.67,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000098
SYNTH-INT-000099,SYNTH-ORDER-000099,2026-01-01T02:15:49Z,2255.06,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000099
SYNTH-INT-000100,SYNTH-ORDER-000100,2026-01-02T04:00:06Z,2258.32,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000100
