processor_transaction_id,order_id,payment_id,processor_id,payment_method,gross_amount,fee_amount,net_amount,currency,fee_policy_id,status,auth_code,processed_at,settlement_id
PROC_000018,ORD_000018,PAY_000018,STRIPE,UPI,15000.00,0.00,15000.00,INR,POL_STP_UPI_INR,CAPTURED,AUTH929029,2026-02-16 07:56:35,SETTLE_000018
PROC_000019,ORD_000019,PAY_000019,STRIPE,CREDIT_CARD,999.00,22.98,976.02,INR,POL_STP_CC_INR,CAPTURED,AUTH420863,2026-03-26 03:20:05,SETTLE_000019
PROC_000020,ORD_000020,PAY_000020,STRIPE,SEPA,60.49,0.50,59.99,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH341358,2026-01-09 13:30:21,SETTLE_000020
PROC_000021,ORD_000021,PAY_000021,ADYEN,CREDIT_CARD,78.25,1.27,76.98,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH432420,2026-02-15 17:28:37,SETTLE_000021
PROC_000022,ORD_000022,PAY_000022,STRIPE,ACH,1857.99,15.11,1842.88,USD,POL_STP_ACH_USD,CAPTURED,AUTH983533,2026-03-04 23:47:36,SETTLE_000022
PROC_000023,ORD_000023,PAY_000023,CHECKOUT_COM,CREDIT_CARD,57.75,1.19,56.56,GBP,POL_CKO_CC_GBP,CAPTURED,AUTH362168,2026-01-05 01:12:38,SETTLE_000023
PROC_000024,ORD_000024,PAY_000024,STRIPE,UPI,1499.00,0.00,1499.00,INR,POL_STP_UPI_INR,CAPTURED,AUTH395536,2026-03-30 22:00:40,SETTLE_000024
PROC_000025,ORD_000025,PAY_000025,STRIPE,SEPA,41.25,5.41,35.84,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH597484,2026-03-16 05:38:26,SETTLE_000025
PROC_000026,ORD_000026,PAY_000026,STRIPE,CREDIT_CARD,508.25,15.04,493.21,CAD,POL_STP_CC_CAD,CAPTURED,AUTH319765,2026-01-31 17:31:28,SETTLE_000026
PROC_000027,ORD_000027,PAY_000027,STRIPE,SEPA,690.95,3.65,687.30,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH624078,2026-03-27 03:59:38,SETTLE_000027
PROC_000028,EXT_ORD_000028,EXT_PAY_000028,ADYEN,SEPA,17.95,0.21,17.74,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH695148,2026-03-08 21:56:42,SETTLE_000028
PROC_000029,ORD_000029,PAY_000029,PAYPAL,CREDIT_CARD,1487.25,47.98,1439.27,EUR,POL_PYP_CC_EUR,CAPTURED,AUTH509611,2026-03-31 01:12:15,SETTLE_000029
PROC_000030,ORD_000030,PAY_000030,CHECKOUT_COM,CREDIT_CARD,28.95,0.87,28.08,USD,POL_CKO_CC_USD,CAPTURED,AUTH807668,2026-02-25 15:04:07,SETTLE_000030
PROC_000031,ORD_000031,PAY_000031,STRIPE,CREDIT_CARD,15000.00,303.00,14697.00,INR,POL_STP_CC_INR,CAPTURED,AUTH649868,2026-01-21 07:46:07,SETTLE_000031
PROC_000032,ORD_000032,PAY_000032,ADYEN,CREDIT_CARD,29.25,0.54,28.71,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH235410,2026-03-25 19:16:11,SETTLE_000032
PROC_000033,ORD_000033,PAY_000033,STRIPE,CREDIT_CARD,567.95,16.77,551.18,CAD,POL_STP_CC_CAD,CAPTURED,AUTH266494,2026-03-26 20:18:02,SETTLE_000033
PROC_000034,ORD_000034,PAY_000034,STRIPE,SEPA,66.80,0.53,66.27,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH734229,2026-01-02 01:20:57,SETTLE_000034
PROC_000036,ORD_000036,PAY_000036,STRIPE,CREDIT_CARD,9999.00,202.98,9796.02,INR,POL_STP_CC_INR,CAPTURED,AUTH868862,2026-02-10 15:08:58,SETTLE_000036
PROC_000037,ORD_000037,PAY_000037,STRIPE,CREDIT_CARD,2853.95,54.43,2799.52,GBP,POL_STP_CC_GBP,CAPTURED,AUTH406068,2026-01-24 14:31:58,SETTLE_000037
PROC_000038,ORD_000038,PAY_000038,ADYEN,DEBIT_CARD,339.25,4.17,335.08,USD,POL_ADY_DC_USD,CAPTURED,AUTH317445,2026-02-19 07:19:42,SETTLE_000038
PROC_000039,ORD_000039,PAY_000039,ADYEN,DEBIT_CARD,2275.25,27.40,2247.85,USD,POL_ADY_DC_USD,CAPTURED,AUTH139609,2026-02-07 08:09:37,SETTLE_000039
PROC_000040,ORD_000040,PAY_000040,CHECKOUT_COM,CREDIT_CARD,46.49,1.27,45.22,USD,POL_CKO_CC_USD,CAPTURED,AUTH848244,2026-02-17 09:34:30,SETTLE_000040
PROC_000041,ORD_000041,PAY_000041,STRIPE,CREDIT_CARD,65.50,1.49,64.01,EUR,POL_STP_CC_EUR,CAPTURED,AUTH276636,2026-03-01 06:23:34,SETTLE_000041
PROC_000042,ORD_000042,PAY_000042,STRIPE,CREDIT_CARD,2831.00,82.40,2748.60,CAD,POL_STP_CC_CAD,CAPTURED,AUTH326667,2026-01-18 14:38:16,SETTLE_000042
PROC_000043,ORD_000043,PAY_000043,STRIPE,DEBIT_CARD,63.00,1.19,61.81,USD,POL_STP_DC_USD,CAPTURED,AUTH904377,2026-02-13 10:34:06,SETTLE_000043
PROC_000044,ORD_000044,PAY_000044,STRIPE,CREDIT_CARD,39.00,1.43,37.57,USD,POL_STP_CC_USD,CAPTURED,AUTH812989,2026-02-11 06:35:40,SETTLE_000044
PROC_000045,ORD_000045,PAY_000045,ADYEN,CREDIT_CARD,511.49,7.77,503.72,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH689356,2026-01-05 14:33:42,SETTLE_000045
PROC_000046,ORD_000046,PAY_000046,STRIPE,CREDIT_CARD,37.49,1.39,36.10,CAD,POL_STP_CC_CAD,CAPTURED,AUTH115722,2026-01-23 21:33:29,SETTLE_000046
PROC_000047,ORD_000047,PAY_000047,STRIPE,ACH,458.95,3.92,455.03,USD,POL_STP_ACH_USD,CAPTURED,AUTH146073,2026-01-22 16:51:56,SETTLE_000047
PROC_000048,ORD_000048,PAY_000048,CHECKOUT_COM,CREDIT_CARD,27.50,0.65,26.85,GBP,POL_CKO_CC_GBP,CAPTURED,AUTH729006,2026-03-11 12:19:34,SETTLE_000048
PROC_000049,ORD_000049,PAY_000049,PAYPAL,UPI,499.00,7.99,491.01,INR,POL_PYP_UPI_INR,CAPTURED,AUTH451383,2026-03-25 00:16:26,SETTLE_000049
PROC_000050,ORD_000050,PAY_000050,PAYPAL,CREDIT_CARD,30.00,1.54,28.46,USD,POL_PYP_CC_USD,CAPTURED,AUTH423851,2026-02-19 05:03:46,SETTLE_000050
PROC_000051,ORD_000051,PAY_000051,ADYEN,CREDIT_CARD,34.80,0.60,34.20,EUR,POL_ADY_CC_EUR,CAPTURED,AUTH494000,2026-01-14 16:32:03,SETTLE_000051
PROC_000052,ORD_000052,PAY_000052,STRIPE,UPI,15000.00,0.00,15000.00,INR,POL_STP_UPI_INR,CAPTURED,AUTH925198,2026-01-14 08:52:06,SETTLE_000052
PROC_000053,ORD_000053,PAY_000053,ADYEN,DEBIT_CARD,21.99,0.36,21.63,USD,POL_ADY_DC_USD,CAPTURED,AUTH797309,2026-01-23 13:38:27,SETTLE_000053
PROC_000054,ORD_000054,PAY_000054,PAYPAL,CREDIT_CARD,102.00,3.26,98.74,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH173384,2026-02-13 06:46:39,SETTLE_000054
PROC_000055,ORD_000055,PAY_000055,STRIPE,CREDIT_CARD,517.75,15.31,502.44,CAD,POL_STP_CC_CAD,CAPTURED,AUTH860206,2026-02-23 14:54:38,SETTLE_000055
PROC_000056,ORD_000056,PAY_000056,STRIPE,CREDIT_CARD,1499.00,32.98,1466.02,INR,POL_STP_CC_INR,CAPTURED,AUTH704422,2026-03-01 03:44:35,SETTLE_000056
PROC_000057,ORD_000057,PAY_000057,ADYEN,SEPA,513.50,1.95,511.55,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH629837,2026-02-08 23:59:09,SETTLE_000057
PROC_000058,ORD_000058,PAY_000058,STRIPE,ACH,237.95,7.15,230.80,USD,POL_STP_ACH_USD,CAPTURED,AUTH679707,2026-02-11 19:54:41,SETTLE_000058
PROC_000059,ORD_000059,PAY_000059,CHECKOUT_COM,CREDIT_CARD,32.80,0.74,32.06,GBP,POL_CKO_CC_GBP,CAPTURED,AUTH849588,2026-02-06 18:09:32,SETTLE_000059
PROC_000060,ORD_000060,PAY_000060,ADYEN,CREDIT_CARD,506.80,7.21,499.59,EUR,POL_ADY_CC_EUR,CAPTURED,AUTH513820,2026-03-13 05:53:17,SETTLE_000060
PROC_000061,ORD_000061,PAY_000061,ADYEN,CREDIT_CARD,1160.00,17.50,1142.50,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH503519,2026-01-08 05:59:29,SETTLE_000061
PROC_000062,ORD_000062,PAY_000062,CHECKOUT_COM,CREDIT_CARD,475.99,8.27,467.72,EUR,POL_CKO_CC_EUR,CAPTURED,AUTH544638,2026-02-19 19:28:38,SETTLE_000062
PROC_000063,ORD_000063,PAY_000063,PAYPAL,UPI,1499.00,19.99,1479.01,INR,POL_PYP_UPI_INR,CAPTURED,AUTH734845,2026-03-10 01:14:01,SETTLE_000063
PROC_000064,ORD_000064,PAY_000064,STRIPE,CREDIT_CARD,26.00,0.69,25.31,GBP,POL_STP_CC_GBP,CAPTURED,AUTH775699,2026-03-06 15:59:12,SETTLE_000064
PROC_000065,ORD_000065,PAY_000065,ADYEN,CREDIT_CARD,593.95,9.01,584.94,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH659102,2026-03-22 21:27:48,SETTLE_000065
PROC_000066,ORD_000066,PAY_000066,PAYPAL,CREDIT_CARD,356.99,10.65,346.34,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH885100,2026-01-11 22:38:10,SETTLE_000066
PROC_000067,ORD_000067,PAY_000067,STRIPE,CREDIT_CARD,508.49,9.91,498.58,EUR,POL_STP_CC_EUR,CAPTURED,AUTH650462,2026-01-01 11:41:10,SETTLE_000067
PROC_000068,ORD_000068,PAY_000068,STRIPE,SEPA,595.75,3.18,592.57,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH215593,2026-01-19 10:21:01,SETTLE_000068
PROC_000069,ORD_000069,PAY_000069,STRIPE,CREDIT_CARD,2325.95,67.75,2258.20,CAD,POL_STP_CC_CAD,CAPTURED,AUTH562139,2026-03-20 21:31:46,SETTLE_000069
PROC_000070,ORD_000070,PAY_000070,STRIPE,CREDIT_CARD,18.95,0.61,18.34,EUR,POL_STP_CC_EUR,CAPTURED,AUTH714094,2026-02-07 00:10:42,SETTLE_000070
PROC_000071,ORD_000071,PAY_000071,STRIPE,DEBIT_CARD,15.49,0.48,15.01,USD,POL_STP_DC_USD,CAPTURED,AUTH493914,2026-03-18 22:59:33,SETTLE_000071
PROC_000072,ORD_000072,PAY_000072,ADYEN,DEBIT_CARD,450.99,5.51,445.48,USD,POL_ADY_DC_USD,CAPTURED,AUTH797385,2026-03-08 12:51:21,SETTLE_000072
PROC_000073,ORD_000073,PAY_000073,CHECKOUT_COM,CREDIT_CARD,223.25,7.83,215.42,USD,POL_CKO_CC_USD,CAPTURED,AUTH126927,2026-01-01 15:11:31,SETTLE_000073
PROC_000074,ORD_000074,PAY_000074,ADYEN,CREDIT_CARD,56.75,0.95,55.80,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH117438,2026-02-20 07:50:26,SETTLE_000074
PROC_000075,ORD_000075,PAY_000075,ADYEN,SEPA,75.49,0.41,75.08,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH790318,2026-02-17 09:03:30,SETTLE_000075
PROC_000076,ORD_000076,PAY_000076,STRIPE,SEPA,26.00,0.33,25.67,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH415986,2026-03-11 10:57:15,SETTLE_000076
PROC_000077,ORD_000077,PAY_000077,PAYPAL,UPI,999.00,13.99,985.01,INR,POL_PYP_UPI_INR,CAPTURED,AUTH321921,2026-02-17 03:32:31,SETTLE_000077
PROC_000078,ORD_000078,PAY_000078,STRIPE,UPI,1599.00,0.00,1599.00,INR,POL_STP_UPI_INR,CAPTURED,AUTH798281,2026-03-16 17:38:10,SETTLE_000078
PROC_000079,ORD_000079,PAY_000079,STRIPE,CREDIT_CARD,14970.00,302.40,14667.60,INR,POL_STP_CC_INR,CAPTURED,AUTH459898,2026-03-26 23:46:39,SETTLE_000079
PROC_000080,ORD_000080,PAY_000080,STRIPE,CREDIT_CARD,26.95,0.76,26.19,EUR,POL_STP_CC_EUR,CAPTURED,AUTH456765,2026-01-26 11:44:22,SETTLE_000080
PROC_000082,ORD_000082,PAY_000082,PAYPAL,UPI,499.00,7.99,491.01,INR,POL_PYP_UPI_INR,CAPTURED,AUTH514515,2026-02-20 19:06:58,SETTLE_000082
PROC_000083,ORD_000083,PAY_000083,PAYPAL,CREDIT_CARD,19.95,1.03,18.92,EUR,POL_PYP_CC_EUR,CAPTURED,AUTH727971,2026-01-15 15:31:54,SETTLE_000083
PROC_000084,ORD_000084,PAY_000084,PAYPAL,CREDIT_CARD,466.75,13.84,452.91,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH161669,2026-02-16 18:29:02,SETTLE_000084
PROC_000086,ORD_000086,PAY_000086,ADYEN,CREDIT_CARD,2254.80,33.92,2220.88,GBP,POL_ADY_CC_GBP,CAPTURED,AUTH510059,2026-02-03 02:13:45,SETTLE_000086
PROC_000087,ORD_000087,PAY_000087,STRIPE,CREDIT_CARD,21.50,0.66,20.84,EUR,POL_STP_CC_EUR,CAPTURED,AUTH991090,2026-02-08 13:33:42,SETTLE_000087
PROC_000088,ORD_000088,PAY_000088,STRIPE,SEPA,40.75,0.40,40.35,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH871037,2026-01-29 14:16:18,SETTLE_000088
PROC_000089,ORD_000089,PAY_000089,STRIPE,CREDIT_CARD,75.00,1.62,73.38,GBP,POL_STP_CC_GBP,CAPTURED,AUTH288358,2026-03-08 07:13:34,SETTLE_000089
PROC_000090,ORD_000090,PAY_000090,STRIPE,DEBIT_CARD,77.49,1.41,76.08,USD,POL_STP_DC_USD,CAPTURED,AUTH417393,2026-01-25 02:54:02,SETTLE_000090
PROC_000091,ORD_000091,PAY_000091,CHECKOUT_COM,CREDIT_CARD,71.25,1.84,69.41,USD,POL_CKO_CC_USD,CAPTURED,AUTH485166,2026-03-17 20:14:46,SETTLE_000091
PROC_000092,ORD_000092,PAY_000092,STRIPE,CREDIT_CARD,27.80,1.11,26.69,USD,POL_STP_CC_USD,CAPTURED,AUTH932929,2026-01-23 04:08:26,SETTLE_000092
PROC_000093,ORD_000093,PAY_000093,PAYPAL,CREDIT_CARD,23.50,1.31,22.19,USD,POL_PYP_CC_USD,CAPTURED,AUTH848440,2026-01-30 07:14:50,SETTLE_000093
PROC_000094,ORD_000094,PAY_000094,CHECKOUT_COM,CREDIT_CARD,30.80,0.70,30.10,GBP,POL_CKO_CC_GBP,CAPTURED,AUTH890110,2026-02-08 13:36:55,SETTLE_000094
PROC_000095,ORD_000095,PAY_000095,ADYEN,DEBIT_CARD,41.49,0.60,40.89,USD,POL_ADY_DC_USD,CAPTURED,AUTH784343,2026-02-13 18:07:55,SETTLE_000095
PROC_000096,ORD_000096,PAY_000096,STRIPE,CREDIT_CARD,3346.25,63.78,3282.47,GBP,POL_STP_CC_GBP,CAPTURED,AUTH100089,2026-02-23 04:36:38,SETTLE_000096
PROC_000097,ORD_000097,PAY_000097,ADYEN,DEBIT_CARD,603.99,7.35,596.64,USD,POL_ADY_DC_USD,CAPTURED,AUTH320032,2026-02-17 22:48:59,SETTLE_000097
PROC_000098,ORD_000098,PAY_000098,STRIPE,CREDIT_CARD,302.50,9.07,293.43,CAD,POL_STP_CC_CAD,CAPTURED,AUTH720529,2026-01-30 10:22:37,SETTLE_000098
PROC_000099,ORD_000099,PAY_000099,ADYEN,SEPA,166.50,0.73,165.77,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH366526,2026-01-26 15:25:14,SETTLE_000099
PROC_000100,ORD_000100,PAY_000100,PAYPAL,CREDIT_CARD,604.75,17.84,586.91,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH734330,2026-03-03 19:16:53,SETTLE_000100
PROC_000102,ORD_000102,PAY_000102,STRIPE,ACH,1770.99,14.42,1756.57,USD,POL_STP_ACH_USD,CAPTURED,AUTH253437,2026-03-04 11:43:50,SETTLE_000102
PROC_000103,ORD_000103,PAY_000103,ADYEN,SEPA,207.49,0.88,206.61,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH284267,2026-01-22 21:49:54,SETTLE_000103
PROC_000104,ORD_000104,PAY_000104,PAYPAL,CREDIT_CARD,182.95,6.87,176.08,USD,POL_PYP_CC_USD,CAPTURED,AUTH150293,2026-03-10 08:11:06,SETTLE_000104
PROC_000105,ORD_000105,PAY_000105,PAYPAL,CREDIT_CARD,211.25,7.15,204.10,EUR,POL_PYP_CC_EUR,CAPTURED,AUTH371645,2026-02-23 21:29:50,SETTLE_000105
PROC_000106,ORD_000106,PAY_000106,STRIPE,UPI,15000.00,0.00,15000.00,INR,POL_STP_UPI_INR,CAPTURED,AUTH488131,2026-02-25 10:31:15,SETTLE_000106
PROC_000107,ORD_000107,PAY_000107,CHECKOUT_COM,CREDIT_CARD,69.95,1.81,68.14,USD,POL_CKO_CC_USD,CAPTURED,AUTH645883,2026-02-04 16:53:32,SETTLE_000107
PROC_000108,ORD_000108,PAY_000108,ADYEN,DEBIT_CARD,174.49,2.19,172.30,USD,POL_ADY_DC_USD,CAPTURED,AUTH865411,2026-02-09 19:15:01,SETTLE_000108
PROC_000109,ORD_000109,PAY_000109,STRIPE,CREDIT_CARD,220.25,6.69,213.56,USD,POL_STP_CC_USD,CAPTURED,AUTH602955,2026-02-18 04:25:57,SETTLE_000109
PROC_000110,ORD_000110,PAY_000110,STRIPE,CREDIT_CARD,434.25,12.89,421.36,USD,POL_STP_CC_USD,CAPTURED,AUTH356089,2026-03-30 18:31:41,SETTLE_000110
PROC_000111,ORD_000111,PAY_000111,CHECKOUT_COM,CREDIT_CARD,61.75,1.70,60.05,CAD,POL_CKO_CC_CAD,CAPTURED,AUTH980184,2026-03-07 19:45:27,SETTLE_000111
PROC_000112,ORD_000112,PAY_000112,ADYEN,CREDIT_CARD,46.49,0.76,45.73,EUR,POL_ADY_CC_EUR,CAPTURED,AUTH972128,2026-01-17 21:15:55,SETTLE_000112
PROC_000113,ORD_000113,PAY_000113,STRIPE,CREDIT_CARD,484.00,14.34,469.66,CAD,POL_STP_CC_CAD,CAPTURED,AUTH328026,2026-01-27 00:55:22,SETTLE_000113
PROC_000114,ORD_000114,PAY_000114,PAYPAL,CREDIT_CARD,60.80,2.34,58.46,EUR,POL_PYP_CC_EUR,CAPTURED,AUTH212369,2026-01-01 21:43:55,SETTLE_000114
PROC_000115,ORD_000115,PAY_000115,CHECKOUT_COM,CREDIT_CARD,80.75,1.55,79.20,EUR,POL_CKO_CC_EUR,CAPTURED,AUTH261177,2026-02-12 03:50:58,SETTLE_000115
PROC_000116,ORD_000116,PAY_000116,CHECKOUT_COM,CREDIT_CARD,61.25,1.22,60.03,EUR,POL_CKO_CC_EUR,CAPTURED,AUTH549148,2026-01-23 06:50:49,SETTLE_000116
PROC_000117,ORD_000117,PAY_000117,STRIPE,SEPA,86.99,0.63,86.36,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH476687,2026-01-17 01:06:33,SETTLE_000117
PROC_000118,ORD_000118,PAY_000118,ADYEN,SEPA,113.25,0.55,112.70,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH268099,2026-01-14 07:30:08,SETTLE_000118
PROC_000119,ORD_000119,PAY_000119,CHECKOUT_COM,CREDIT_CARD,66.50,1.31,65.19,EUR,POL_CKO_CC_EUR,CAPTURED,AUTH626236,2026-02-23 17:53:24,SETTLE_000119
PROC_000120,ORD_000120,PAY_000120,STRIPE,SEPA,323.99,1.82,322.17,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH154567,2026-01-13 13:53:56,SETTLE_000120
PROC_000121,ORD_000121,PAY_000121,ADYEN,CREDIT_CARD,69.80,1.59,68.21,USD,POL_ADY_CC_USD,CAPTURED,AUTH359781,2026-01-29 10:30:38,SETTLE_000121
PROC_000122,ORD_000122,PAY_000122,STRIPE,UPI,15000.00,0.00,15000.00,INR,POL_STP_UPI_INR,CAPTURED,AUTH960471,2026-03-26 05:39:33,SETTLE_000122
PROC_000123,EXT_ORD_000123,EXT_PAY_000123,PAYPAL,CREDIT_CARD,31.50,1.21,30.29,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH520775,2026-03-03 09:27:56,SETTLE_000123
PROC_000124,ORD_000124,PAY_000124,STRIPE,DEBIT_CARD,394.25,6.16,388.09,INR,POL_STP_DC_USD,CAPTURED,AUTH834169,2026-01-10 03:53:55,SETTLE_000124
PROC_000125,ORD_000125,PAY_000125,PAYPAL,CREDIT_CARD,49.00,1.72,47.28,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH481237,2026-02-11 19:09:27,SETTLE_000125
PROC_000126_DUP,ORD_000126,PAY_000126,STRIPE,CREDIT_CARD,410.00,12.19,397.81,USD,POL_STP_CC_USD,CAPTURED,AUTH551839,2026-01-05 07:17:50,SETTLE_000126
PROC_000126,ORD_000126,PAY_000126,STRIPE,CREDIT_CARD,410.00,12.19,397.81,USD,POL_STP_CC_USD,CAPTURED,AUTH322274,2026-01-05 07:17:05,SETTLE_000126
PROC_000127,ORD_000127,PAY_000127,ADYEN,DEBIT_CARD,16.95,0.30,16.65,USD,POL_ADY_DC_USD,CAPTURED,AUTH816137,2026-02-05 15:12:50,SETTLE_000127
PROC_000128,ORD_000128,PAY_000128,PAYPAL,CREDIT_CARD,50.99,2.27,48.72,USD,POL_PYP_CC_USD,CAPTURED,AUTH320235,2026-03-14 11:09:42,SETTLE_000128
PROC_000129,ORD_000129,PAY_000129,STRIPE,DEBIT_CARD,72.75,1.34,71.41,USD,POL_STP_DC_USD,CAPTURED,AUTH203428,2026-01-13 00:27:15,SETTLE_000129
PROC_000130,ORD_000130,PAY_000130,STRIPE,CREDIT_CARD,39.50,1.45,38.05,CAD,POL_STP_CC_CAD,CAPTURED,AUTH538527,2026-03-16 05:14:20,SETTLE_000130
PROC_000131,ORD_000131,PAY_000131,STRIPE,CREDIT_CARD,68.25,1.55,66.70,EUR,POL_STP_CC_EUR,CAPTURED,AUTH649205,2026-03-03 11:41:56,SETTLE_000131
PROC_000132,ORD_000132,PAY_000132,STRIPE,CREDIT_CARD,626.25,18.46,607.79,CAD,POL_STP_CC_CAD,CAPTURED,AUTH638430,2026-01-07 05:39:47,SETTLE_000132
PROC_000133,ORD_000133,PAY_000133,PAYPAL,CREDIT_CARD,15.95,0.90,15.05,EUR,POL_PYP_CC_EUR,CAPTURED,AUTH267775,2026-02-09 06:03:03,SETTLE_000133
PROC_000134,ORD_000134,PAY_000134,ADYEN,CREDIT_CARD,49.75,1.16,48.59,USD,POL_ADY_CC_USD,CAPTURED,AUTH678972,2026-01-26 11:07:54,SETTLE_000134
PROC_000135,ORD_000135,PAY_000135,PAYPAL,CREDIT_CARD,1788.50,52.17,1736.33,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH239430,2026-01-05 03:05:47,SETTLE_000135
PROC_000136,ORD_000136,PAY_000136,PAYPAL,CREDIT_CARD,458.99,13.61,445.38,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH440327,2026-01-01 11:16:17,SETTLE_000136
PROC_000137_DUP,ORD_000137,PAY_000137,STRIPE,DEBIT_CARD,305.00,4.83,300.17,USD,POL_STP_DC_USD,CAPTURED,AUTH663492,2026-02-01 20:28:14,SETTLE_000137
PROC_000137,ORD_000137,PAY_000137,STRIPE,DEBIT_CARD,305.00,4.83,300.17,USD,POL_STP_DC_USD,CAPTURED,AUTH865960,2026-02-01 20:27:29,SETTLE_000137
PROC_000138,ORD_000138,PAY_000138,ADYEN,SEPA,3249.95,15.52,3234.43,EUR,POL_ADY_SEPA_EUR,CAPTURED,AUTH733698,2026-01-11 16:02:03,SETTLE_000138
