Date,Account,Memo,DocNo,Amount
2026-06-08,1010 Cash — Operating,Vermeer Canada — invoice payment,CHQ#1050,-3062.32
2026-06-08,1010 Cash — Operating,Vermeer Canada — invoice payment,CHQ#1070,-8175.43
2026-06-09,1010 Cash — Operating,Bell aerial build — holdback release,REF40600,70486.82
2026-06-09,1010 Cash — Operating,Intact Insurance — invoice payment,REF40211,-5170.46
2026-06-09,1010 Cash — Operating,Milton Hydro — invoice payment,CHQ#1060,-5257.34
2026-06-09,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,CHQ#1065,-4433.49
2026-06-09,1010 Cash — Operating,Rogers Communications — progress billing,REF40123,27250.97
2026-06-09,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40147,-10880.16
2026-06-09,1010 Cash — Operating,Staples Business — invoice payment,CHQ#1076,-9101.04
2026-06-09,1010 Cash — Operating,Telecon Design — invoice payment,CHQ#1062,-15288.66
2026-06-09,1010 Cash — Operating,Telecon Design — invoice payment,CHQ#1072,-14804.25
2026-06-11,1010 Cash — Operating,Intact Insurance — invoice payment,REF40786,-22782.19
2026-06-11,1010 Cash — Operating,Milton Hydro — invoice payment,CHQ#1068,-15073.56
2026-06-11,1010 Cash — Operating,Region of Halton — invoice payment,CHQ#1046,-21055.08
2026-06-11,1010 Cash — Operating,Rogers Communications — progress billing,REF40691,41142.46
2026-06-11,1010 Cash — Operating,Telus network build — milestone,REF40158,87832.55
2026-06-11,1010 Cash — Operating,WESCO Distribution — invoice payment,CHQ#1067,-11233.06
2026-06-11,1010 Cash — Operating,WESCO Distribution — invoice payment,CHQ#1071,-11995.77
2026-06-12,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF40638,-1176.36
2026-06-12,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40376,-16179.58
2026-06-12,1010 Cash — Operating,GFL Environmental — invoice payment,REF40929,-743.29
2026-06-12,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,CHQ#1044,-10980.23
2026-06-12,1010 Cash — Operating,Staples Business — invoice payment,REF40167,-2483.78
2026-06-15,1010 Cash — Operating,Bell Canada — invoice payment,REF40721,-15901.99
2026-06-15,1010 Cash — Operating,Home Depot Pro — invoice payment,REF40412,-8619.37
2026-06-15,1010 Cash — Operating,Home Depot Pro — invoice payment,CHQ#1054,-4550.69
2026-06-15,1010 Cash — Operating,Milton Hydro — invoice payment,REF40659,-21240.09
2026-06-15,1010 Cash — Operating,Rogers Communications — invoice payment,REF40238,-19356.19
2026-06-15,1010 Cash — Operating,Staples Business — invoice payment,REF40284,-9270.17
2026-06-15,1010 Cash — Operating,Vermeer Canada — invoice payment,CHQ#1043,-12952.95
2026-06-15,1010 Cash — Operating,Vermeer Canada — invoice payment,REF40614,-13321.03
2026-06-15,1010 Cash — Operating,WSIB Ontario — invoice payment,CHQ#1047,-2837.17
2026-06-16,1010 Cash — Operating,Milton Hydro — invoice payment,CHQ#1056,-15945.77
2026-06-16,1010 Cash — Operating,Rogers Communications — progress billing,REF40337,78905.01
2026-06-16,1010 Cash — Operating,Shell Fleet Card — invoice payment,CHQ#1052,-6813.33
2026-06-16,1010 Cash — Operating,Telus network build — milestone,REF40451,61577.27
2026-06-17,1010 Cash — Operating,Bell aerial build — holdback release,REF40736,56603.15
2026-06-17,1010 Cash — Operating,GFL Environmental — invoice payment,CHQ#1057,-22079.80
2026-06-17,1010 Cash — Operating,Rogers Communications — invoice payment,CHQ#1074,-4709.23
2026-06-18,1010 Cash — Operating,ADP Payroll — invoice payment,REF40219,-15305.18
2026-06-18,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,CHQ#1049,-15895.26
2026-06-18,1010 Cash — Operating,Cogeco underground build,REF40357,111792.66
2026-06-18,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40580,-3937.53
2026-06-18,1010 Cash — Operating,Rogers Communications — progress billing,REF40295,86353.93
2026-06-18,1010 Cash — Operating,Shell Fleet Card — invoice payment,CHQ#1078,-3495.61
2026-06-18,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40833,-2411.28
2026-06-18,1010 Cash — Operating,Telecon Design — invoice payment,CHQ#1055,-10735.37
2026-06-18,1010 Cash — Operating,Telus network build — milestone,REF40260,47196.48
2026-06-19,1010 Cash — Operating,ADP Payroll — invoice payment,CHQ#1066,-2934.68
2026-06-19,1010 Cash — Operating,Bell aerial build — holdback release,REF40504,30144.87
2026-06-19,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF40408,-17410.26
2026-06-19,1010 Cash — Operating,Milton Hydro — invoice payment,REF40918,-1154.82
2026-06-19,1010 Cash — Operating,Region of Halton — invoice payment,REF40270,-10385.29
2026-06-19,1010 Cash — Operating,Vermeer Canada — invoice payment,REF40547,-14976.01
2026-06-22,1010 Cash — Operating,Anixter Canada — invoice payment,CHQ#1069,-7966.03
2026-06-22,1010 Cash — Operating,Anixter Canada — invoice payment,REF40901,-9274.16
2026-06-22,1010 Cash — Operating,Bell Canada — invoice payment,CHQ#1061,-13390.63
2026-06-22,1010 Cash — Operating,Cogeco underground build,REF40229,59150.99
2026-06-22,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,REF40249,-9603.95
2026-06-22,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40181,-19936.42
2026-06-22,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40801,-12259.66
2026-06-22,1010 Cash — Operating,Region of Halton — invoice payment,CHQ#1059,-14341.45
2026-06-22,1010 Cash — Operating,Vermeer Canada — invoice payment,CHQ#1075,-7694.16
2026-06-22,1010 Cash — Operating,WSIB Ontario — invoice payment,REF40608,-18548.06
2026-06-23,1010 Cash — Operating,Intact Insurance — invoice payment,REF40884,-1887.53
2026-06-23,1010 Cash — Operating,Telecon Design — invoice payment,REF40618,-22691.11
2026-06-23,1010 Cash — Operating,United Rentals — invoice payment,REF40865,-6648.91
2026-06-24,1010 Cash — Operating,ADP Payroll — invoice payment,REF40752,-10531.31
2026-06-24,1010 Cash — Operating,Bell Canada — invoice payment,REF40314,-22899.90
2026-06-24,1010 Cash — Operating,Milton Hydro — invoice payment,REF40780,-16540.94
2026-06-24,1010 Cash — Operating,Rogers Communications — progress billing,REF40425,30455.14
2026-06-25,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF40163,-5308.77
2026-06-25,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,REF40348,-19617.67
2026-06-25,1010 Cash — Operating,Vermeer Canada — invoice payment,REF40542,-7711.34
2026-06-25,1010 Cash — Operating,WSIB Ontario — invoice payment,CHQ#1045,-20256.73
2026-06-26,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF40281,-15125.76
2026-06-26,1010 Cash — Operating,Ditch Witch of Ontario — parts invoice,CHQ#1079,-7412.66
2026-06-26,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,REF40482,-22249.66
2026-06-26,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40675,-20774.91
2026-06-26,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40706,-6535.31
2026-06-26,1010 Cash — Operating,United Rentals — invoice payment,REF40341,-22311.13
2026-06-26,1010 Cash — Operating,Vermeer Canada — invoice payment,REF40716,-8508.86
2026-06-26,1010 Cash — Operating,WESCO Distribution — invoice payment,REF40852,-13902.44
2026-06-29,1010 Cash — Operating,Region of Halton — road permit fees,CHQ#1081,-2340.55
2026-06-29,1010 Cash — Operating,Vermeer Canada — drill head rebuild,CHQ#1080,-15890.23
2026-06-30,1010 Cash — Operating,Brandt Tractor Ltd — service invoice,CHQ#1082,-4178.09
2026-06-30,1010 Cash — Operating,Cogeco underground build,REF40957,12764.31
2026-06-30,1010 Cash — Operating,Rogers Communications — progress billing,REF40947,48310.77
