work_item_id,client_id,task_type_code,assigned_employee_id,reviewer_employee_id,accounting_period,created_timestamp,due_timestamp,completed_timestamp,estimated_hours,actual_hours,priority,status,blocked_reason,rework_count,on_time_flag
WRK000000020,CLI000000003,PAYROLL,EMP000000005,,2023-02,2023-02-18T13:55:49,2023-03-03T08:55:41,2023-02-28T13:17:07,3.75,4.46,NORMAL,COMPLETED,,0,True
WRK000000021,CLI000000004,BOOKKEEP,EMP000000004,,2023-01,2023-01-21T13:35:36,2023-02-03T13:29:51,2023-02-12T16:08:39,7.5,8.97,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000022,CLI000000004,BANK_REC,EMP000000004,,2023-01,2023-01-21T15:33:26,2023-02-03T14:52:36,2023-02-01T09:08:20,3.38,2.97,NORMAL,COMPLETED,,0,True
WRK000000023,CLI000000004,MONTH_CLOSE,EMP000000004,,2023-01,2023-01-21T13:08:56,2023-02-08T16:40:37,2023-02-16T10:49:08,4.88,6.41,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000024,CLI000000004,PAYROLL,EMP000000004,,2023-01,2023-01-21T09:33:09,2023-02-03T12:10:10,2023-02-06T13:59:45,3.75,4.04,NORMAL,COMPLETED,,1,False
WRK000000025,CLI000000004,BOOKKEEP,EMP000000004,,2023-02,2023-02-18T12:37:21,2023-03-03T16:53:32,2023-03-05T16:31:45,7.5,6.92,NORMAL,COMPLETED,,2,False
WRK000000026,CLI000000004,BANK_REC,EMP000000004,,2023-02,2023-02-18T13:43:07,2023-03-03T14:37:19,2023-03-04T18:01:38,3.38,3.59,NORMAL,COMPLETED,,0,False
WRK000000027,CLI000000004,MONTH_CLOSE,EMP000000004,,2023-02,2023-02-18T17:36:14,2023-03-08T08:37:30,2023-03-12T10:33:40,4.88,4.73,NORMAL,COMPLETED,,0,False
WRK000000028,CLI000000004,PAYROLL,EMP000000004,,2023-02,2023-02-18T08:36:44,2023-03-03T09:12:01,2023-03-06T15:20:26,3.75,3.44,NORMAL,COMPLETED,,0,False
WRK000000029,CLI000000005,BOOKKEEP,EMP000000004,,2023-01,2023-01-21T11:03:42,2023-02-03T09:29:19,2023-02-14T10:25:43,2.5,3.02,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000030,CLI000000005,BANK_REC,EMP000000004,,2023-01,2023-01-21T12:23:39,2023-02-03T11:14:08,2023-02-04T15:09:29,1.12,1.31,NORMAL,COMPLETED,,0,False
WRK000000031,CLI000000005,MONTH_CLOSE,EMP000000004,,2023-01,2023-01-21T15:48:34,2023-02-08T18:52:13,2023-02-24T11:43:48,1.62,2.11,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000032,CLI000000005,PAYROLL,EMP000000004,,2023-01,2023-01-21T13:04:58,2023-02-03T17:07:03,2023-02-01T16:57:32,1.25,1.36,NORMAL,COMPLETED,,0,True
WRK000000033,CLI000000005,BOOKKEEP,EMP000000004,,2023-02,2023-02-18T14:19:17,2023-03-03T08:35:37,2023-03-02T10:40:43,2.5,3.23,NORMAL,COMPLETED,,0,True
WRK000000034,CLI000000005,BANK_REC,EMP000000004,,2023-02,2023-02-18T13:41:42,2023-03-03T14:50:33,2023-03-06T13:44:26,1.12,1.24,NORMAL,COMPLETED,,0,False
WRK000000035,CLI000000005,MONTH_CLOSE,EMP000000004,,2023-02,2023-02-18T16:30:15,2023-03-08T11:19:54,2023-03-11T10:51:29,1.62,1.49,NORMAL,COMPLETED,,0,False
WRK000000036,CLI000000005,PAYROLL,EMP000000004,,2023-02,2023-02-18T16:33:08,2023-03-03T14:15:16,2023-02-28T11:21:41,1.25,1.38,NORMAL,COMPLETED,,2,True
WRK000000037,CLI000000006,BOOKKEEP,EMP000000005,,2023-01,2023-01-21T08:26:08,2023-02-03T18:14:04,2023-02-16T10:00:13,7.5,11.96,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000038,CLI000000006,BANK_REC,EMP000000005,,2023-01,2023-01-21T18:59:39,2023-02-03T15:42:31,2023-02-07T08:00:34,3.38,3.44,NORMAL,COMPLETED,,0,False
WRK000000039,CLI000000006,MONTH_CLOSE,EMP000000005,,2023-01,2023-01-21T12:34:18,2023-02-08T08:32:52,2023-02-26T18:27:51,4.88,5.21,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000040,CLI000000006,PAYROLL,EMP000000005,,2023-01,2023-01-21T10:15:12,2023-02-03T17:33:16,2023-02-02T13:17:50,3.75,3.37,NORMAL,COMPLETED,,0,True
WRK000000041,CLI000000006,BOOKKEEP,EMP000000005,,2023-02,2023-02-18T16:26:06,2023-03-03T08:05:22,2023-03-02T16:05:38,7.5,7.83,NORMAL,COMPLETED,,0,True
WRK000000042,CLI000000006,BANK_REC,EMP000000005,,2023-02,2023-02-18T14:24:49,2023-03-03T09:46:57,2023-03-05T16:57:15,3.38,4.18,NORMAL,COMPLETED,,0,False
WRK000000043,CLI000000006,MONTH_CLOSE,EMP000000005,,2023-02,2023-02-18T12:19:17,2023-03-08T15:09:04,2023-03-07T10:27:17,4.88,5.65,NORMAL,COMPLETED,,0,True
WRK000000044,CLI000000006,PAYROLL,EMP000000005,,2023-02,2023-02-18T13:16:15,2023-03-03T18:31:38,2023-03-06T17:12:29,3.75,3.69,NORMAL,COMPLETED,,1,False
WRK000000045,CLI000000007,BOOKKEEP,EMP000000004,,2023-01,2023-01-21T16:35:37,2023-02-03T17:14:28,2023-02-01T13:25:29,12.0,11.6,NORMAL,COMPLETED,,0,True
WRK000000046,CLI000000007,BANK_REC,EMP000000004,,2023-01,2023-01-21T09:18:26,2023-02-03T09:07:53,2023-02-02T10:22:19,5.4,5.43,NORMAL,COMPLETED,,0,True
WRK000000047,CLI000000007,MONTH_CLOSE,EMP000000004,,2023-01,2023-01-21T15:22:30,2023-02-08T09:28:46,2023-02-10T15:20:04,7.8,8.23,NORMAL,COMPLETED,,0,False
WRK000000048,CLI000000007,BOOKKEEP,EMP000000004,,2023-02,2023-02-18T12:58:39,2023-03-03T17:05:43,2023-03-07T10:20:07,12.0,13.53,NORMAL,COMPLETED,,1,False
WRK000000049,CLI000000007,BANK_REC,EMP000000004,,2023-02,2023-02-18T10:32:24,2023-03-03T14:38:08,2023-03-03T17:24:27,5.4,5.33,NORMAL,COMPLETED,,0,True
WRK000000050,CLI000000007,MONTH_CLOSE,EMP000000004,,2023-02,2023-02-18T18:59:11,2023-03-08T16:10:31,2023-03-07T12:08:11,7.8,8.34,NORMAL,COMPLETED,,0,True
WRK000000051,CLI000000008,BOOKKEEP,EMP000000005,,2023-01,2023-01-21T10:45:20,2023-02-03T11:48:53,2023-02-02T18:25:31,2.5,2.91,NORMAL,COMPLETED,,0,True
WRK000000052,CLI000000008,BANK_REC,EMP000000005,,2023-01,2023-01-21T14:24:28,2023-02-03T09:40:50,2023-02-02T09:25:32,1.12,1.25,NORMAL,COMPLETED,,0,True
WRK000000053,CLI000000008,MONTH_CLOSE,EMP000000005,,2023-01,2023-01-21T15:31:20,2023-02-08T17:00:55,2023-02-09T09:46:29,1.62,1.89,NORMAL,COMPLETED,,1,False
WRK000000054,CLI000000008,PAYROLL,EMP000000005,,2023-01,2023-01-21T14:13:27,2023-02-03T11:31:17,2023-02-05T13:53:18,1.25,1.54,NORMAL,COMPLETED,,1,False
WRK000000055,CLI000000008,BOOKKEEP,EMP000000005,,2023-02,2023-02-18T08:21:51,2023-03-03T14:17:33,2023-03-18T09:16:45,2.5,3.69,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000056,CLI000000008,BANK_REC,EMP000000005,,2023-02,2023-02-18T08:31:54,2023-03-03T17:10:23,2023-03-01T10:16:49,1.12,1.21,NORMAL,COMPLETED,,0,True
WRK000000057,CLI000000008,MONTH_CLOSE,EMP000000005,,2023-02,2023-02-18T09:14:47,2023-03-08T16:00:02,2023-03-20T08:15:02,1.62,2.54,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000058,CLI000000008,PAYROLL,EMP000000005,,2023-02,2023-02-18T10:59:54,2023-03-03T08:35:51,2023-03-07T18:26:14,1.25,1.27,NORMAL,COMPLETED,,1,False
