invoice_id,document_id,client_id,counterparty_id,invoice_direction,invoice_number,issue_date,due_date,currency_code,net_amount,vat_rate,vat_amount,gross_amount,gross_amount_eur,payment_status
INV000000020,DOC000000020,CLI000000004,CP000000044,AR,AR-00004-202301-000020,2023-01-27,2023-02-10,EUR,851.73,0.07,59.62,911.35,911.35,OPEN
INV000000021,DOC000000021,CLI000000004,CP000000043,AP,AP-00004-202301-000021,2023-01-12,2023-02-26,EUR,732.58,0.19,139.19,871.77,871.77,OPEN
INV000000022,DOC000000022,CLI000000004,CP000000042,AP,AP-00004-202301-000022,2023-01-08,2023-02-07,EUR,441.19,0.19,83.83,525.02,525.02,OPEN
INV000000023,DOC000000023,CLI000000004,CP000000038,AR,AR-00004-202302-000023,2023-02-09,2023-02-23,EUR,1271.79,0.07,89.03,1360.82,1360.82,OPEN
INV000000024,DOC000000024,CLI000000004,CP000000044,AR,AR-00004-202302-000024,2023-02-05,2023-02-19,EUR,1809.47,0.19,343.80,2153.27,2153.27,OPEN
INV000000025,DOC000000025,CLI000000004,CP000000045,AR,AR-00004-202302-000025,2023-02-25,2023-03-27,EUR,2076.81,0.19,394.59,2471.40,2471.40,OPEN
INV000000026,DOC000000026,CLI000000004,CP000000046,AP,AP-00004-202302-000026,2023-02-13,2023-03-15,EUR,435.46,0.07,30.48,465.94,465.94,OPEN
INV000000027,DOC000000027,CLI000000004,CP000000046,AP,AP-00004-202302-000027,2023-02-11,2023-03-13,EUR,304.72,0.19,57.90,362.62,362.62,OPEN
INV000000028,DOC000000028,CLI000000004,CP000000043,AP,AP-00004-202302-000028,2023-02-28,2023-04-14,EUR,212.31,0.19,40.34,252.65,252.65,OPEN
INV000000029,DOC000000029,CLI000000005,CP000000058,AR,AR-00005-202301-000029,2023-01-30,2023-03-16,EUR,324.47,0.19,61.65,386.12,386.12,OPEN
INV000000030,DOC000000030,CLI000000005,CP000000060,AR,AR-00005-202301-000030,2023-01-25,2023-02-24,EUR,862.50,0.19,163.88,1026.38,1026.38,OPEN
INV000000031,DOC000000031,CLI000000005,CP000000055,AR,AR-00005-202301-000031,2023-01-11,2023-02-25,EUR,1525.17,0.07,106.76,1631.93,1631.93,OPEN
INV000000032,DOC000000032,CLI000000005,CP000000053,AP,AP-00005-202301-000032,2023-01-31,2023-02-07,EUR,315.26,0.19,59.90,375.15,375.15,OPEN
INV000000033,DOC000000033,CLI000000005,CP000000052,AP,AP-00005-202301-000033,2023-01-08,2023-01-15,EUR,941.36,0.19,178.86,1120.22,1120.22,OPEN
INV000000034,DOC000000034,CLI000000005,CP000000051,AP,AP-00005-202301-000034,2023-01-01,2023-01-15,EUR,43.29,0.19,8.22,51.51,51.51,OPEN
INV000000035,DOC000000035,CLI000000005,CP000000058,AR,AR-00005-202302-000035,2023-02-15,2023-02-22,EUR,2035.85,0.19,386.81,2422.66,2422.66,OPEN
INV000000036,DOC000000036,CLI000000005,CP000000048,AR,AR-00005-202302-000036,2023-02-18,2023-04-04,EUR,1246.89,0.0,0.00,1246.89,1246.89,OPEN
INV000000037,DOC000000037,CLI000000005,CP000000049,AP,AP-00005-202302-000037,2023-02-18,2023-02-25,EUR,257.06,0.19,48.84,305.91,305.91,OPEN
INV000000038,DOC000000038,CLI000000005,CP000000057,AP,AP-00005-202302-000038,2023-02-13,2023-02-20,EUR,1277.85,0.19,242.79,1520.64,1520.64,OPEN
INV000000039,DOC000000039,CLI000000006,CP000000062,AR,AR-00006-202301-000039,2023-01-02,2023-02-01,EUR,476.55,0.0,0.00,476.55,476.55,OPEN
INV000000040,DOC000000040,CLI000000006,CP000000062,AR,AR-00006-202301-000040,2023-01-10,2023-01-17,EUR,370.80,0.19,70.45,441.25,441.25,OPEN
INV000000041,DOC000000041,CLI000000006,CP000000064,AP,AP-00006-202301-000041,2023-01-18,2023-02-17,EUR,1084.86,0.19,206.12,1290.98,1290.98,OPEN
INV000000042,DOC000000042,CLI000000006,CP000000062,AR,AR-00006-202302-000042,2023-02-23,2023-03-09,EUR,103.19,0.07,7.22,110.41,110.41,OPEN
INV000000043,DOC000000043,CLI000000006,CP000000062,AR,AR-00006-202302-000043,2023-02-02,2023-02-09,EUR,997.65,0.19,189.55,1187.20,1187.20,OPEN
INV000000044,DOC000000044,CLI000000006,CP000000068,AP,AP-00006-202302-000044,2023-02-19,2023-04-05,EUR,785.02,0.19,149.15,934.17,934.17,OPEN
INV000000045,DOC000000045,CLI000000006,CP000000068,AP,AP-00006-202302-000045,2023-02-27,2023-04-13,EUR,1445.24,0.19,274.60,1719.83,1719.83,OPEN
INV000000046,DOC000000046,CLI000000007,CP000000074,AR,AR-00007-202301-000046,2023-01-13,2023-02-12,EUR,570.17,0.19,108.33,678.51,678.51,OPEN
INV000000047,DOC000000047,CLI000000007,CP000000069,AR,AR-00007-202301-000047,2023-01-31,2023-03-17,EUR,2123.69,0.19,403.50,2527.20,2527.20,OPEN
INV000000048,DOC000000048,CLI000000007,CP000000072,AP,AP-00007-202301-000048,2023-01-12,2023-01-19,EUR,1277.10,0.19,242.65,1519.74,1519.74,OPEN
INV000000049,DOC000000049,CLI000000007,CP000000072,AP,AP-00007-202301-000049,2023-01-27,2023-02-03,EUR,370.46,0.19,70.39,440.85,440.85,OPEN
INV000000050,DOC000000050,CLI000000007,CP000000071,AR,AR-00007-202302-000050,2023-02-21,2023-02-28,EUR,982.11,0.19,186.60,1168.71,1168.71,OPEN
INV000000051,DOC000000051,CLI000000007,CP000000070,AP,AP-00007-202302-000051,2023-02-26,2023-04-12,DKK,664.91,0.19,126.33,791.24,791.24,OPEN
INV000000052,DOC000000052,CLI000000008,CP000000075,AR,AR-00008-202301-000052,2023-01-16,2023-01-30,EUR,292.09,0.19,55.50,347.59,347.59,OPEN
INV000000053,DOC000000053,CLI000000008,CP000000075,AR,AR-00008-202301-000053,2023-01-19,2023-01-26,EUR,1558.07,0.0,0.00,1558.07,1558.07,OPEN
INV000000054,DOC000000054,CLI000000008,CP000000076,AP,AP-00008-202301-000054,2023-01-19,2023-01-26,EUR,211.56,0.19,40.20,251.76,251.76,OPEN
INV000000055,DOC000000055,CLI000000008,CP000000088,AP,AP-00008-202301-000055,2023-01-21,2023-02-04,EUR,443.04,0.19,84.18,527.22,527.22,OPEN
INV000000056,DOC000000056,CLI000000008,CP000000087,AR,AR-00008-202302-000056,2023-02-11,2023-02-18,EUR,45.57,0.19,8.66,54.23,54.23,OPEN
INV000000057,DOC000000057,CLI000000008,CP000000085,AR,AR-00008-202302-000057,2023-02-10,2023-02-24,EUR,664.31,0.07,46.50,710.81,710.81,OPEN
INV000000058,DOC000000058,CLI000000008,CP000000085,AR,AR-00008-202302-000058,2023-02-11,2023-02-18,EUR,3235.67,0.07,226.50,3462.17,3462.17,OPEN
INV000000059,DOC000000059,CLI000000008,CP000000079,AR,AR-00008-202302-000059,2023-02-10,2023-02-24,EUR,232.30,0.19,44.14,276.43,276.43,OPEN
INV000000060,DOC000000060,CLI000000008,CP000000077,AP,AP-00008-202302-000060,2023-02-15,2023-03-17,EUR,1569.23,0.07,109.85,1679.07,1679.07,OPEN
INV000000061,DOC000000061,CLI000000008,CP000000077,AP,AP-00008-202302-000061,2023-02-25,2023-03-04,EUR,649.06,0.19,123.32,772.38,772.38,OPEN
INV000000062,DOC000000062,CLI000000008,CP000000084,AP,AP-00008-202302-000062,2023-02-20,2023-03-22,EUR,2373.75,0.19,451.01,2824.77,2824.77,OPEN
INV000000063,DOC000000063,CLI000000008,CP000000080,AP,AP-00008-202302-000063,2023-02-21,2023-02-28,EUR,5361.22,0.19,1018.63,6379.85,6379.85,OPEN
