document_id,client_id,document_type_code,external_reference,document_date,accounting_period,received_timestamp,ingestion_channel,processing_status,validation_result,attachment_quality
DOC000000045,CLI000000006,PURCHASE_INV,AP-00006-202302-000045,2023-02-27,2023-02,2023-03-02T18:57:34,API,VALIDATED,VALID,GOOD
DOC000000046,CLI000000007,SALES_INV,AR-00007-202301-000046,2023-01-13,2023-01,2023-01-17T10:19:20,EMAIL,VALIDATED,VALID,GOOD
DOC000000047,CLI000000007,SALES_INV,AR-00007-202301-000047,2023-01-31,2023-01,2023-02-04T11:20:24,API,VALIDATED,VALID,ACCEPTABLE
DOC000000048,CLI000000007,PURCHASE_INV,AP-00007-202301-000048,2023-01-12,2023-01,2023-01-16T08:46:29,EMAIL,VALIDATED,VALID,GOOD
DOC000000049,CLI000000007,PURCHASE_INV,AP-00007-202301-000049,2023-01-27,2023-01,2023-02-01T10:45:27,MANUAL,VALIDATED,VALID,GOOD
DOC000000050,CLI000000007,SALES_INV,AR-00007-202302-000050,2023-02-21,2023-02,2023-02-22T16:10:21,MANUAL,VALIDATED,VALID,POOR
DOC000000051,CLI000000007,PURCHASE_INV,AP-00007-202302-000051,2023-02-26,2023-02,2023-03-03T17:56:12,MANUAL,VALIDATED,VALID,GOOD
DOC000000052,CLI000000008,SALES_INV,AR-00008-202301-000052,2023-01-16,2023-01,2023-01-19T18:31:26,MANUAL,VALIDATED,VALID,GOOD
DOC000000053,CLI000000008,SALES_INV,AR-00008-202301-000053,2023-01-19,2023-01,2023-01-21T10:49:29,MANUAL,VALIDATED,VALID,GOOD
DOC000000054,CLI000000008,PURCHASE_INV,AP-00008-202301-000054,2023-01-19,2023-01,2023-01-19T15:34:13,MANUAL,VALIDATED,VALID,GOOD
DOC000000055,CLI000000008,PURCHASE_INV,AP-00008-202301-000055,2023-01-21,2023-01,2023-01-21T11:13:51,API,VALIDATED,VALID,ACCEPTABLE
DOC000000056,CLI000000008,SALES_INV,AR-00008-202302-000056,2023-02-11,2023-02,2023-02-24T12:05:23,EMAIL,LATE,VALID,GOOD
DOC000000057,CLI000000008,SALES_INV,AR-00008-202302-000057,2023-02-10,2023-02,2023-02-10T10:37:14,MANUAL,VALIDATED,VALID,GOOD
DOC000000058,CLI000000008,SALES_INV,AR-00008-202302-000058,2023-02-11,2023-02,2023-02-25T09:46:51,PORTAL,LATE,VALID,GOOD
DOC000000059,CLI000000008,SALES_INV,AR-00008-202302-000059,2023-02-10,2023-02,2023-02-15T10:04:33,PORTAL,VALIDATED,VALID,GOOD
DOC000000060,CLI000000008,PURCHASE_INV,AP-00008-202302-000060,2023-02-15,2023-02,2023-02-20T15:55:13,PORTAL,VALIDATED,VALID,ACCEPTABLE
DOC000000061,CLI000000008,PURCHASE_INV,AP-00008-202302-000061,2023-02-25,2023-02,2023-02-26T11:17:41,PORTAL,VALIDATED,VALID,GOOD
DOC000000062,CLI000000008,PURCHASE_INV,AP-00008-202302-000062,2023-02-20,2023-02,2023-02-22T11:33:38,EMAIL,VALIDATED,VALID,ACCEPTABLE
DOC000000063,CLI000000008,PURCHASE_INV,AP-00008-202302-000063,2023-02-21,2023-02,2023-02-22T15:40:38,PORTAL,VALIDATED,VALID,GOOD
