journal_entry_id,client_id,entry_date,accounting_period,source_document_id,entry_type,description,currency_code
JE000000045,CLI000000004,2023-02-25,2023-02,DOC000000025,AR_INVOICE,AR invoice posting,EUR
JE000000046,CLI000000004,2023-02-13,2023-02,DOC000000026,AP_INVOICE,AP invoice posting,EUR
JE000000047,CLI000000004,2023-02-11,2023-02,DOC000000027,AP_INVOICE,AP invoice posting,EUR
JE000000048,CLI000000004,2023-02-28,2023-02,DOC000000028,AP_INVOICE,AP invoice posting,EUR
JE000000049,CLI000000004,2023-03-10,2023-03,,PAYMENT,Payment posting,EUR
JE000000050,CLI000000004,2023-03-03,2023-03,,PAYMENT,Payment posting,EUR
JE000000051,CLI000000004,2023-03-27,2023-03,,PAYMENT,Payment posting,EUR
JE000000052,CLI000000004,2023-03-27,2023-03,,PAYMENT,Payment posting,EUR
JE000000053,CLI000000004,2023-04-13,2023-04,,PAYMENT,Payment posting,EUR
JE000000054,CLI000000005,2023-01-30,2023-01,DOC000000029,AR_INVOICE,AR invoice posting,EUR
JE000000055,CLI000000005,2023-01-25,2023-01,DOC000000030,AR_INVOICE,AR invoice posting,EUR
JE000000056,CLI000000005,2023-01-11,2023-01,DOC000000031,AR_INVOICE,AR invoice posting,EUR
JE000000057,CLI000000005,2023-01-31,2023-01,DOC000000032,AP_INVOICE,AP invoice posting,EUR
JE000000058,CLI000000005,2023-01-08,2023-01,DOC000000033,AP_INVOICE,AP invoice posting,EUR
JE000000059,CLI000000005,2023-01-01,2023-01,DOC000000034,AP_INVOICE,AP invoice posting,EUR
JE000000060,CLI000000005,2023-04-02,2023-04,,PAYMENT,Payment posting,EUR
JE000000061,CLI000000005,2023-03-19,2023-03,,PAYMENT,Payment posting,EUR
JE000000062,CLI000000005,2023-03-09,2023-03,,PAYMENT,Payment posting,EUR
JE000000063,CLI000000005,2023-02-02,2023-02,,PAYMENT,Payment posting,EUR
JE000000064,CLI000000005,2023-02-01,2023-02,,PAYMENT,Payment posting,EUR
JE000000065,CLI000000005,2023-02-15,2023-02,DOC000000035,AR_INVOICE,AR invoice posting,EUR
JE000000066,CLI000000005,2023-02-18,2023-02,DOC000000036,AR_INVOICE,AR invoice posting,EUR
JE000000067,CLI000000005,2023-02-18,2023-02,DOC000000037,AP_INVOICE,AP invoice posting,EUR
JE000000068,CLI000000005,2023-02-13,2023-02,DOC000000038,AP_INVOICE,AP invoice posting,EUR
JE000000069,CLI000000005,2023-03-12,2023-03,,PAYMENT,Payment posting,EUR
JE000000070,CLI000000005,2023-04-23,2023-04,,PAYMENT,Payment posting,EUR
JE000000071,CLI000000005,2023-03-08,2023-03,,PAYMENT,Payment posting,EUR
JE000000072,CLI000000005,2023-03-05,2023-03,,PAYMENT,Payment posting,EUR
JE000000073,CLI000000006,2023-01-02,2023-01,DOC000000039,AR_INVOICE,AR invoice posting,EUR
JE000000074,CLI000000006,2023-01-10,2023-01,DOC000000040,AR_INVOICE,AR invoice posting,EUR
JE000000075,CLI000000006,2023-01-18,2023-01,DOC000000041,AP_INVOICE,AP invoice posting,EUR
JE000000076,CLI000000006,2023-02-01,2023-02,,PAYMENT,Payment posting,EUR
JE000000077,CLI000000006,2023-01-10,2023-01,,PAYMENT,Payment posting,EUR
JE000000078,CLI000000006,2023-02-01,2023-02,,PAYMENT,Payment posting,EUR
JE000000079,CLI000000006,2023-02-23,2023-02,DOC000000042,AR_INVOICE,AR invoice posting,EUR
JE000000080,CLI000000006,2023-02-02,2023-02,DOC000000043,AR_INVOICE,AR invoice posting,EUR
JE000000081,CLI000000006,2023-02-19,2023-02,DOC000000044,AP_INVOICE,AP invoice posting,EUR
JE000000082,CLI000000006,2023-02-27,2023-02,DOC000000045,AP_INVOICE,AP invoice posting,EUR
JE000000083,CLI000000006,2023-03-05,2023-03,,PAYMENT,Payment posting,EUR
JE000000084,CLI000000006,2023-02-19,2023-02,,PAYMENT,Payment posting,EUR
JE000000085,CLI000000006,2023-04-05,2023-04,,PAYMENT,Payment posting,EUR
JE000000086,CLI000000006,2023-04-19,2023-04,,PAYMENT,Payment posting,EUR
JE000000087,CLI000000007,2023-01-13,2023-01,DOC000000046,AR_INVOICE,AR invoice posting,EUR
JE000000088,CLI000000007,2023-01-31,2023-01,DOC000000047,AR_INVOICE,AR invoice posting,EUR
JE000000089,CLI000000007,2023-01-12,2023-01,DOC000000048,AP_INVOICE,AP invoice posting,EUR
JE000000090,CLI000000007,2023-01-27,2023-01,DOC000000049,AP_INVOICE,AP invoice posting,EUR
JE000000091,CLI000000007,2023-03-26,2023-03,,PAYMENT,Payment posting,EUR
JE000000092,CLI000000007,2023-02-05,2023-02,,PAYMENT,Payment posting,EUR
JE000000093,CLI000000007,2023-02-21,2023-02,DOC000000050,AR_INVOICE,AR invoice posting,EUR
JE000000094,CLI000000007,2023-02-26,2023-02,DOC000000051,AP_INVOICE,AP invoice posting,EUR
JE000000095,CLI000000007,2023-03-14,2023-03,,PAYMENT,Payment posting,EUR
JE000000096,CLI000000007,2023-04-08,2023-04,,PAYMENT,Payment posting,EUR
JE000000097,CLI000000008,2023-01-16,2023-01,DOC000000052,AR_INVOICE,AR invoice posting,EUR
JE000000098,CLI000000008,2023-01-19,2023-01,DOC000000053,AR_INVOICE,AR invoice posting,EUR
JE000000099,CLI000000008,2023-01-19,2023-01,DOC000000054,AP_INVOICE,AP invoice posting,EUR
JE000000100,CLI000000008,2023-01-21,2023-01,DOC000000055,AP_INVOICE,AP invoice posting,EUR
JE000000101,CLI000000008,2023-02-09,2023-02,,PAYMENT,Payment posting,EUR
JE000000102,CLI000000008,2023-01-27,2023-01,,PAYMENT,Payment posting,EUR
JE000000103,CLI000000008,2023-02-11,2023-02,DOC000000056,AR_INVOICE,AR invoice posting,EUR
JE000000104,CLI000000008,2023-02-10,2023-02,DOC000000057,AR_INVOICE,AR invoice posting,EUR
JE000000105,CLI000000008,2023-02-11,2023-02,DOC000000058,AR_INVOICE,AR invoice posting,EUR
JE000000106,CLI000000008,2023-02-10,2023-02,DOC000000059,AR_INVOICE,AR invoice posting,EUR
JE000000107,CLI000000008,2023-02-15,2023-02,DOC000000060,AP_INVOICE,AP invoice posting,EUR
JE000000108,CLI000000008,2023-02-25,2023-02,DOC000000061,AP_INVOICE,AP invoice posting,EUR
JE000000109,CLI000000008,2023-02-20,2023-02,DOC000000062,AP_INVOICE,AP invoice posting,EUR
JE000000110,CLI000000008,2023-02-21,2023-02,DOC000000063,AP_INVOICE,AP invoice posting,EUR
JE000000111,CLI000000008,2023-03-02,2023-03,,PAYMENT,Payment posting,EUR
JE000000112,CLI000000008,2023-03-31,2023-03,,PAYMENT,Payment posting,EUR
JE000000113,CLI000000008,2023-03-15,2023-03,,PAYMENT,Payment posting,EUR
JE000000114,CLI000000008,2023-04-05,2023-04,,PAYMENT,Payment posting,EUR
JE000000115,CLI000000008,2023-02-26,2023-02,,PAYMENT,Payment posting,EUR
