journal_line_id,journal_entry_id,gl_account_code,debit_amount_eur,credit_amount_eur,cost_center_code
JL000000035,JE000000014,1000,514.11,0.00,CC-HLD
JL000000036,JE000000014,1200,0.00,514.11,CC-HLD
JL000000037,JE000000015,1600,1038.26,0.00,CC-HLD
JL000000038,JE000000015,1000,0.00,1038.26,CC-HLD
JL000000039,JE000000016,1200,442.79,0.00,CC-MAN
JL000000040,JE000000016,3000,0.00,372.09,CC-MAN
JL000000041,JE000000016,1776,0.00,70.70,CC-MAN
JL000000042,JE000000017,1200,1119.09,0.00,CC-MAN
JL000000043,JE000000017,3000,0.00,940.41,CC-MAN
JL000000044,JE000000017,1776,0.00,178.68,CC-MAN
JL000000045,JE000000018,1200,2369.21,0.00,CC-MAN
JL000000046,JE000000018,3000,0.00,1990.93,CC-MAN
JL000000047,JE000000018,1776,0.00,378.28,CC-MAN
JL000000048,JE000000019,4000,485.39,0.00,CC-MAN
JL000000049,JE000000019,1400,92.22,0.00,CC-MAN
JL000000050,JE000000019,1600,0.00,577.61,CC-MAN
JL000000051,JE000000020,4000,416.32,0.00,CC-MAN
JL000000052,JE000000020,1400,79.10,0.00,CC-MAN
JL000000053,JE000000020,1600,0.00,495.43,CC-MAN
JL000000054,JE000000021,4000,368.77,0.00,CC-MAN
JL000000055,JE000000021,1400,70.07,0.00,CC-MAN
JL000000056,JE000000021,1600,0.00,438.84,CC-MAN
JL000000057,JE000000022,1000,442.79,0.00,CC-MAN
JL000000058,JE000000022,1200,0.00,442.79,CC-MAN
JL000000059,JE000000023,1000,1119.09,0.00,CC-MAN
JL000000060,JE000000023,1200,0.00,1119.09,CC-MAN
JL000000061,JE000000024,1000,2369.21,0.00,CC-MAN
JL000000062,JE000000024,1200,0.00,2369.21,CC-MAN
JL000000063,JE000000025,1600,577.61,0.00,CC-MAN
JL000000064,JE000000025,1000,0.00,577.61,CC-MAN
JL000000065,JE000000026,1600,495.43,0.00,CC-MAN
JL000000066,JE000000026,1000,0.00,495.43,CC-MAN
JL000000067,JE000000027,1600,438.84,0.00,CC-MAN
JL000000068,JE000000027,1000,0.00,438.84,CC-MAN
JL000000069,JE000000028,1200,1480.06,0.00,CC-MAN
JL000000070,JE000000028,3000,0.00,1243.74,CC-MAN
JL000000071,JE000000028,1776,0.00,236.31,CC-MAN
JL000000072,JE000000029,1200,109.75,0.00,CC-MAN
JL000000073,JE000000029,3000,0.00,92.23,CC-MAN
JL000000074,JE000000029,1776,0.00,17.52,CC-MAN
JL000000075,JE000000030,4000,405.54,0.00,CC-MAN
JL000000076,JE000000030,1400,77.05,0.00,CC-MAN
JL000000077,JE000000030,1600,0.00,482.60,CC-MAN
JL000000078,JE000000031,4000,1167.33,0.00,CC-MAN
JL000000079,JE000000031,1400,221.79,0.00,CC-MAN
JL000000080,JE000000031,1600,0.00,1389.12,CC-MAN
JL000000081,JE000000032,1000,1480.06,0.00,CC-MAN
JL000000082,JE000000032,1200,0.00,1480.06,CC-MAN
JL000000083,JE000000033,1000,109.75,0.00,CC-MAN
JL000000084,JE000000033,1200,0.00,109.75,CC-MAN
JL000000085,JE000000034,1600,482.60,0.00,CC-MAN
JL000000086,JE000000034,1000,0.00,482.60,CC-MAN
JL000000087,JE000000035,1600,1389.12,0.00,CC-MAN
JL000000088,JE000000035,1000,0.00,1389.12,CC-MAN
JL000000089,JE000000036,1200,578.49,0.00,CC-MAR
JL000000090,JE000000036,3000,0.00,486.13,CC-MAR
JL000000091,JE000000036,1776,0.00,92.36,CC-MAR
JL000000092,JE000000037,1200,911.35,0.00,CC-MAR
JL000000093,JE000000037,3000,0.00,851.73,CC-MAR
JL000000094,JE000000037,1776,0.00,59.62,CC-MAR
JL000000095,JE000000038,4000,732.58,0.00,CC-MAR
JL000000096,JE000000038,1400,139.19,0.00,CC-MAR
JL000000097,JE000000038,1600,0.00,871.77,CC-MAR
JL000000098,JE000000039,4000,441.19,0.00,CC-MAR
JL000000099,JE000000039,1400,83.83,0.00,CC-MAR
JL000000100,JE000000039,1600,0.00,525.02,CC-MAR
JL000000101,JE000000040,1000,578.49,0.00,CC-MAR
JL000000102,JE000000040,1200,0.00,578.49,CC-MAR
JL000000103,JE000000041,1000,911.35,0.00,CC-MAR
JL000000104,JE000000041,1200,0.00,911.35,CC-MAR
JL000000105,JE000000042,1600,871.77,0.00,CC-MAR
JL000000106,JE000000042,1000,0.00,871.77,CC-MAR
JL000000107,JE000000043,1200,1360.82,0.00,CC-MAR
JL000000108,JE000000043,3000,0.00,1271.79,CC-MAR
JL000000109,JE000000043,1776,0.00,89.03,CC-MAR
JL000000110,JE000000044,1200,2153.27,0.00,CC-MAR
JL000000111,JE000000044,3000,0.00,1809.47,CC-MAR
JL000000112,JE000000044,1776,0.00,343.80,CC-MAR
JL000000113,JE000000045,1200,2471.40,0.00,CC-MAR
JL000000114,JE000000045,3000,0.00,2076.81,CC-MAR
JL000000115,JE000000045,1776,0.00,394.59,CC-MAR
JL000000116,JE000000046,4000,435.46,0.00,CC-MAR
JL000000117,JE000000046,1400,30.48,0.00,CC-MAR
JL000000118,JE000000046,1600,0.00,465.94,CC-MAR
JL000000119,JE000000047,4000,304.72,0.00,CC-MAR
JL000000120,JE000000047,1400,57.90,0.00,CC-MAR
JL000000121,JE000000047,1600,0.00,362.62,CC-MAR
JL000000122,JE000000048,4000,212.31,0.00,CC-MAR
JL000000123,JE000000048,1400,40.34,0.00,CC-MAR
JL000000124,JE000000048,1600,0.00,252.65,CC-MAR
JL000000125,JE000000049,1000,1360.82,0.00,CC-MAR
JL000000126,JE000000049,1200,0.00,1360.82,CC-MAR
JL000000127,JE000000050,1000,2153.27,0.00,CC-MAR
JL000000128,JE000000050,1200,0.00,2153.27,CC-MAR
JL000000129,JE000000051,1000,2471.40,0.00,CC-MAR
JL000000130,JE000000051,1200,0.00,2471.40,CC-MAR
JL000000131,JE000000052,1600,362.62,0.00,CC-MAR
JL000000132,JE000000052,1000,0.00,362.62,CC-MAR
JL000000133,JE000000053,1600,104.01,0.00,CC-MAR
JL000000134,JE000000053,1000,0.00,104.01,CC-MAR
JL000000135,JE000000054,1200,386.12,0.00,CC-MED
JL000000136,JE000000054,3000,0.00,324.47,CC-MED
JL000000137,JE000000054,1776,0.00,61.65,CC-MED
JL000000138,JE000000055,1200,1026.38,0.00,CC-MED
JL000000139,JE000000055,3000,0.00,862.50,CC-MED
JL000000140,JE000000055,1776,0.00,163.88,CC-MED
JL000000141,JE000000056,1200,1631.93,0.00,CC-MED
JL000000142,JE000000056,3000,0.00,1525.17,CC-MED
JL000000143,JE000000056,1776,0.00,106.76,CC-MED
JL000000144,JE000000057,4000,315.26,0.00,CC-MED
JL000000145,JE000000057,1400,59.90,0.00,CC-MED
JL000000146,JE000000057,1600,0.00,375.15,CC-MED
JL000000147,JE000000058,4000,941.36,0.00,CC-MED
JL000000148,JE000000058,1400,178.86,0.00,CC-MED
JL000000149,JE000000058,1600,0.00,1120.22,CC-MED
JL000000150,JE000000059,4000,43.29,0.00,CC-MED
JL000000151,JE000000059,1400,8.22,0.00,CC-MED
JL000000152,JE000000059,1600,0.00,51.51,CC-MED
JL000000153,JE000000060,1000,386.12,0.00,CC-MED
JL000000154,JE000000060,1200,0.00,386.12,CC-MED
JL000000155,JE000000061,1000,1026.38,0.00,CC-MED
JL000000156,JE000000061,1200,0.00,1026.38,CC-MED
JL000000157,JE000000062,1600,375.15,0.00,CC-MED
JL000000158,JE000000062,1000,0.00,375.15,CC-MED
JL000000159,JE000000063,1600,1120.22,0.00,CC-MED
JL000000160,JE000000063,1000,0.00,1120.22,CC-MED
JL000000161,JE000000064,1600,51.51,0.00,CC-MED
JL000000162,JE000000064,1000,0.00,51.51,CC-MED
JL000000163,JE000000065,1200,2422.66,0.00,CC-MED
JL000000164,JE000000065,3000,0.00,2035.85,CC-MED
JL000000165,JE000000065,1776,0.00,386.81,CC-MED
JL000000166,JE000000066,1200,1246.89,0.00,CC-MED
JL000000167,JE000000066,3000,0.00,1246.89,CC-MED
JL000000168,JE000000066,1776,0.00,0.00,CC-MED
JL000000169,JE000000067,4000,257.06,0.00,CC-MED
JL000000170,JE000000067,1400,48.84,0.00,CC-MED
JL000000171,JE000000067,1600,0.00,305.91,CC-MED
JL000000172,JE000000068,4000,1277.85,0.00,CC-MED
JL000000173,JE000000068,1400,242.79,0.00,CC-MED
JL000000174,JE000000068,1600,0.00,1520.64,CC-MED
JL000000175,JE000000069,1000,1173.21,0.00,CC-MED
JL000000176,JE000000069,1200,0.00,1173.21,CC-MED
JL000000177,JE000000070,1000,1246.89,0.00,CC-MED
JL000000178,JE000000070,1200,0.00,1246.89,CC-MED
JL000000179,JE000000071,1600,305.91,0.00,CC-MED
JL000000180,JE000000071,1000,0.00,305.91,CC-MED
JL000000181,JE000000072,1600,1520.64,0.00,CC-MED
JL000000182,JE000000072,1000,0.00,1520.64,CC-MED
JL000000183,JE000000073,1200,476.55,0.00,CC-AUT
JL000000184,JE000000073,3000,0.00,476.55,CC-AUT
JL000000185,JE000000073,1776,0.00,0.00,CC-AUT
JL000000186,JE000000074,1200,441.25,0.00,CC-AUT
JL000000187,JE000000074,3000,0.00,370.80,CC-AUT
JL000000188,JE000000074,1776,0.00,70.45,CC-AUT
JL000000189,JE000000075,4000,1084.86,0.00,CC-AUT
JL000000190,JE000000075,1400,206.12,0.00,CC-AUT
JL000000191,JE000000075,1600,0.00,1290.98,CC-AUT
JL000000192,JE000000076,1000,476.55,0.00,CC-AUT
JL000000193,JE000000076,1200,0.00,476.55,CC-AUT
JL000000194,JE000000077,1000,441.25,0.00,CC-AUT
JL000000195,JE000000077,1200,0.00,441.25,CC-AUT
JL000000196,JE000000078,1600,1290.98,0.00,CC-AUT
JL000000197,JE000000078,1000,0.00,1290.98,CC-AUT
JL000000198,JE000000079,1200,110.41,0.00,CC-AUT
JL000000199,JE000000079,3000,0.00,103.19,CC-AUT
JL000000200,JE000000079,1776,0.00,7.22,CC-AUT
JL000000201,JE000000080,1200,1187.20,0.00,CC-AUT
JL000000202,JE000000080,3000,0.00,997.65,CC-AUT
JL000000203,JE000000080,1776,0.00,189.55,CC-AUT
JL000000204,JE000000081,4000,785.02,0.00,CC-AUT
JL000000205,JE000000081,1400,149.15,0.00,CC-AUT
JL000000206,JE000000081,1600,0.00,934.17,CC-AUT
JL000000207,JE000000082,4000,1445.24,0.00,CC-AUT
JL000000208,JE000000082,1400,274.60,0.00,CC-AUT
JL000000209,JE000000082,1600,0.00,1719.83,CC-AUT
JL000000210,JE000000083,1000,110.41,0.00,CC-AUT
JL000000211,JE000000083,1200,0.00,110.41,CC-AUT
JL000000212,JE000000084,1000,1187.20,0.00,CC-AUT
JL000000213,JE000000084,1200,0.00,1187.20,CC-AUT
JL000000214,JE000000085,1600,934.17,0.00,CC-AUT
JL000000215,JE000000085,1000,0.00,934.17,CC-AUT
JL000000216,JE000000086,1600,1719.83,0.00,CC-AUT
JL000000217,JE000000086,1000,0.00,1719.83,CC-AUT
JL000000218,JE000000087,1200,678.51,0.00,CC-EDU
JL000000219,JE000000087,3000,0.00,570.17,CC-EDU
JL000000220,JE000000087,1776,0.00,108.33,CC-EDU
JL000000221,JE000000088,1200,2527.20,0.00,CC-EDU
JL000000222,JE000000088,3000,0.00,2123.69,CC-EDU
JL000000223,JE000000088,1776,0.00,403.50,CC-EDU
JL000000224,JE000000089,4000,1277.10,0.00,CC-EDU
JL000000225,JE000000089,1400,242.65,0.00,CC-EDU
JL000000226,JE000000089,1600,0.00,1519.74,CC-EDU
JL000000227,JE000000090,4000,370.46,0.00,CC-EDU
JL000000228,JE000000090,1400,70.39,0.00,CC-EDU
JL000000229,JE000000090,1600,0.00,440.85,CC-EDU
JL000000230,JE000000091,1000,2527.20,0.00,CC-EDU
JL000000231,JE000000091,1200,0.00,2527.20,CC-EDU
JL000000232,JE000000092,1600,440.85,0.00,CC-EDU
JL000000233,JE000000092,1000,0.00,440.85,CC-EDU
JL000000234,JE000000093,1200,1168.71,0.00,CC-EDU
JL000000235,JE000000093,3000,0.00,982.11,CC-EDU
JL000000236,JE000000093,1776,0.00,186.60,CC-EDU
JL000000237,JE000000094,4000,664.91,0.00,CC-EDU
JL000000238,JE000000094,1400,126.33,0.00,CC-EDU
JL000000239,JE000000094,1600,0.00,791.24,CC-EDU
JL000000240,JE000000095,1000,1168.71,0.00,CC-EDU
JL000000241,JE000000095,1200,0.00,1168.71,CC-EDU
JL000000242,JE000000096,1600,791.24,0.00,CC-EDU
JL000000243,JE000000096,1000,0.00,791.24,CC-EDU
JL000000244,JE000000097,1200,347.59,0.00,CC-PRO
JL000000245,JE000000097,3000,0.00,292.09,CC-PRO
JL000000246,JE000000097,1776,0.00,55.50,CC-PRO
JL000000247,JE000000098,1200,1558.07,0.00,CC-PRO
JL000000248,JE000000098,3000,0.00,1558.07,CC-PRO
JL000000249,JE000000098,1776,0.00,0.00,CC-PRO
JL000000250,JE000000099,4000,211.56,0.00,CC-PRO
JL000000251,JE000000099,1400,40.20,0.00,CC-PRO
JL000000252,JE000000099,1600,0.00,251.76,CC-PRO
JL000000253,JE000000100,4000,443.04,0.00,CC-PRO
JL000000254,JE000000100,1400,84.18,0.00,CC-PRO
JL000000255,JE000000100,1600,0.00,527.22,CC-PRO
JL000000256,JE000000101,1000,347.59,0.00,CC-PRO
JL000000257,JE000000101,1200,0.00,347.59,CC-PRO
JL000000258,JE000000102,1000,1558.07,0.00,CC-PRO
JL000000259,JE000000102,1200,0.00,1558.07,CC-PRO
JL000000260,JE000000103,1200,54.23,0.00,CC-PRO
JL000000261,JE000000103,3000,0.00,45.57,CC-PRO
JL000000262,JE000000103,1776,0.00,8.66,CC-PRO
JL000000263,JE000000104,1200,710.81,0.00,CC-PRO
JL000000264,JE000000104,3000,0.00,664.31,CC-PRO
JL000000265,JE000000104,1776,0.00,46.50,CC-PRO
JL000000266,JE000000105,1200,3462.17,0.00,CC-PRO
JL000000267,JE000000105,3000,0.00,3235.67,CC-PRO
JL000000268,JE000000105,1776,0.00,226.50,CC-PRO
JL000000269,JE000000106,1200,276.43,0.00,CC-PRO
JL000000270,JE000000106,3000,0.00,232.30,CC-PRO
JL000000271,JE000000106,1776,0.00,44.14,CC-PRO
JL000000272,JE000000107,4000,1569.23,0.00,CC-PRO
JL000000273,JE000000107,1400,109.85,0.00,CC-PRO
JL000000274,JE000000107,1600,0.00,1679.07,CC-PRO
JL000000275,JE000000108,4000,649.06,0.00,CC-PRO
JL000000276,JE000000108,1400,123.32,0.00,CC-PRO
JL000000277,JE000000108,1600,0.00,772.38,CC-PRO
JL000000278,JE000000109,4000,2373.75,0.00,CC-PRO
JL000000279,JE000000109,1400,451.01,0.00,CC-PRO
JL000000280,JE000000109,1600,0.00,2824.77,CC-PRO
JL000000281,JE000000110,4000,5361.22,0.00,CC-PRO
JL000000282,JE000000110,1400,1018.63,0.00,CC-PRO
JL000000283,JE000000110,1600,0.00,6379.85,CC-PRO
JL000000284,JE000000111,1000,276.43,0.00,CC-PRO
JL000000285,JE000000111,1200,0.00,276.43,CC-PRO
JL000000286,JE000000112,1600,633.36,0.00,CC-PRO
JL000000287,JE000000112,1000,0.00,633.36,CC-PRO
JL000000288,JE000000113,1600,772.38,0.00,CC-PRO
JL000000289,JE000000113,1000,0.00,772.38,CC-PRO
JL000000290,JE000000114,1600,2824.77,0.00,CC-PRO
JL000000291,JE000000114,1000,0.00,2824.77,CC-PRO
JL000000292,JE000000115,1600,4145.22,0.00,CC-PRO
JL000000293,JE000000115,1000,0.00,4145.22,CC-PRO
